timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,116.6100,118.4600,114.8200,118.0600,118.0600,373352,0.0000,1.0000
2020-01-22,117.4300,118.2700,117.1100,117.4100,117.4100,394991,0.0000,1.0000
2020-01-21,119.6700,120.1300,116.0900,116.9500,116.9500,752567,0.0000,1.0000
2020-01-17,121.5700,122.0598,120.9200,121.5000,121.5000,382437,0.0000,1.0000
2020-01-16,121.9800,121.9800,120.1900,120.8400,120.8400,342481,0.0000,1.0000
2020-01-15,120.5800,121.7100,120.4600,121.3400,121.3400,424967,0.0000,1.0000
2020-01-14,120.3100,121.2800,119.9500,121.2400,121.2400,416802,0.0000,1.0000
2020-01-13,119.3100,121.5300,118.7700,120.5200,120.5200,503649,0.0000,1.0000
2020-01-10,119.6200,119.7100,117.8900,118.0200,118.0200,327011,0.0000,1.0000
2020-01-09,119.2000,119.8200,118.4700,119.6900,119.6900,397791,0.0000,1.0000
2020-01-08,118.3800,120.1400,118.2800,118.7300,118.7300,279167,0.0000,1.0000
2020-01-07,117.7300,119.8500,117.7300,118.8500,118.8500,412233,0.0000,1.0000
2020-01-06,118.4200,119.0400,117.8199,118.5200,118.5200,399059,0.0000,1.0000
2020-01-03,117.5700,119.4700,117.5700,118.8100,118.8100,292334,0.0000,1.0000
2020-01-02,120.8500,120.8800,118.4500,119.2500,119.2500,345673,0.0000,1.0000
2019-12-31,119.9400,120.8180,119.6300,119.7600,119.7600,369153,0.0000,1.0000
2019-12-30,120.5900,120.8300,119.7350,120.0900,120.0900,315522,0.0000,1.0000
2019-12-27,120.9700,121.3100,120.0050,120.2800,120.2800,322089,0.0000,1.0000
2019-12-26,120.6500,121.2450,119.5300,120.8300,120.8300,287157,0.0000,1.0000
2019-12-24,121.1200,121.3400,120.5750,120.6500,120.6500,119563,0.0000,1.0000
2019-12-23,121.2500,121.2600,120.4100,120.8300,120.8300,355161,0.0000,1.0000
2019-12-20,120.5500,122.1700,119.9700,121.3300,121.3300,1640620,0.0000,1.0000
2019-12-19,120.6200,121.0350,120.1000,120.1600,120.1600,376946,0.0000,1.0000
2019-12-18,120.6600,120.9650,119.2600,120.8400,120.8400,363528,0.0000,1.0000
2019-12-17,119.3100,121.4300,118.1800,121.0800,121.0800,399160,0.0000,1.0000
2019-12-16,120.4500,120.4700,118.7400,118.8700,118.8700,384655,0.0000,1.0000
2019-12-13,120.2800,121.1600,119.0200,119.7500,119.7500,306333,0.0000,1.0000
2019-12-12,119.4000,120.9900,118.4400,120.8700,120.8700,456177,0.0000,1.0000
2019-12-11,120.2400,120.9600,119.9675,120.4700,120.4700,501321,0.0000,1.0000
2019-12-10,119.9000,121.2850,119.8300,120.3300,120.3300,358355,0.0000,1.0000
2019-12-09,120.1700,121.7200,120.1350,120.5400,120.5400,394923,0.0000,1.0000
2019-12-06,119.0000,121.0900,119.0000,120.2200,120.2200,566467,0.0000,1.0000
2019-12-05,116.9400,118.6700,116.7000,118.6500,118.6500,671301,0.0000,1.0000
2019-12-04,118.6900,119.3000,116.7600,117.1200,117.1200,548566,0.0000,1.0000
2019-12-03,116.8800,118.1300,116.0600,118.0300,118.0300,429946,0.0000,1.0000
2019-12-02,118.2800,118.9600,117.7900,118.5100,118.5100,392437,0.0000,1.0000
2019-11-29,118.5200,118.7600,117.5800,117.9800,117.9800,120637,0.0000,1.0000
2019-11-27,119.3000,119.3500,117.9000,118.9700,118.9700,441012,0.0000,1.0000
2019-11-26,117.1900,119.3200,116.5250,119.1600,119.1600,469548,0.0000,1.0000
2019-11-25,116.8600,118.5100,115.8700,116.8600,116.8600,691355,0.0000,1.0000
2019-11-22,117.1600,117.2300,116.2300,116.3900,116.3900,402037,0.0000,1.0000
2019-11-21,116.7900,117.6400,116.2600,116.2800,116.2800,684907,0.0000,1.0000
2019-11-20,115.2100,118.3800,114.6200,117.2100,117.2100,769774,0.0000,1.0000
2019-11-19,116.5600,116.5600,114.3600,115.8200,115.8200,831315,0.0000,1.0000
2019-11-18,113.0400,116.5200,112.6950,116.4400,116.4400,798465,0.0000,1.0000
2019-11-15,113.8300,114.7300,112.7950,113.1700,113.1700,600931,0.0000,1.0000
2019-11-14,113.6500,114.6700,112.6400,112.9400,112.9400,892810,0.5500,1.0000
2019-11-13,115.3900,116.3100,114.5900,114.8100,114.2536,471753,0.0000,1.0000
2019-11-12,116.5200,116.7900,115.3600,115.7200,115.1592,463650,0.0000,1.0000
2019-11-11,116.8100,116.8800,116.0800,116.5200,115.9553,304236,0.0000,1.0000
2019-11-08,117.0300,118.5800,116.9400,117.3400,116.7713,373219,0.0000,1.0000
2019-11-07,118.6200,119.0900,117.3100,117.4400,116.8709,569720,0.0000,1.0000
2019-11-06,117.9400,118.5400,116.9800,117.2000,116.6320,704865,0.0000,1.0000
