timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,152.6900,154.1600,150.2600,153.3200,153.3200,442481,0.0000,1.0000
2020-01-22,153.1900,156.5000,152.2000,152.9800,152.9800,399574,0.0000,1.0000
2020-01-21,159.5900,159.7200,150.1900,152.7400,152.7400,514679,0.0000,1.0000
2020-01-17,162.0500,162.0500,156.2600,158.3100,158.3100,582217,0.0000,1.0000
2020-01-16,162.2500,164.8900,160.3500,161.0900,161.0900,372146,0.0000,1.0000
2020-01-15,170.0000,170.6900,161.2900,162.7700,162.7700,503212,0.0000,1.0000
2020-01-14,174.1100,175.6500,168.6500,169.1200,169.1200,378709,0.0000,1.0000
2020-01-13,172.2100,175.3200,171.7200,174.0300,174.0300,389801,0.0000,1.0000
2020-01-10,169.3400,172.6500,168.5800,171.5300,171.5300,213905,0.0000,1.0000
2020-01-09,172.3200,173.5300,166.6500,168.7000,168.7000,349641,0.0000,1.0000
2020-01-08,171.7400,173.9800,169.8250,171.9200,171.9200,305680,0.0000,1.0000
2020-01-07,173.2000,174.7200,171.6950,172.2400,172.2400,238356,0.0000,1.0000
2020-01-06,174.1900,175.7750,172.0000,173.9500,173.9500,293358,0.0000,1.0000
2020-01-03,173.1100,175.6500,172.5000,175.1600,175.1600,268315,0.0000,1.0000
2020-01-02,176.9500,177.3112,173.4500,174.2100,174.2100,300044,0.0000,1.0000
2019-12-31,175.0300,176.6600,174.3175,176.2200,176.2200,250523,0.0000,1.0000
2019-12-30,175.2000,175.4900,173.2700,175.0200,175.0200,293646,0.0000,1.0000
2019-12-27,175.1300,176.9400,173.3100,175.1700,175.1700,297220,0.0000,1.0000
2019-12-26,175.7000,178.2300,174.1950,175.8400,175.8400,195825,0.0000,1.0000
2019-12-24,176.5700,176.9600,174.3031,175.7000,175.7000,121712,0.0000,1.0000
2019-12-23,177.5600,178.0500,172.7950,175.5000,175.5000,583862,0.0000,1.0000
2019-12-20,171.5600,177.9900,171.2400,175.9800,175.9800,1027741,0.0000,1.0000
2019-12-19,169.9900,179.4500,169.9900,171.7400,171.7400,1026565,0.0000,1.0000
2019-12-18,168.5000,169.2400,165.5000,167.1300,167.1300,333948,0.0000,1.0000
2019-12-17,166.7200,168.0400,165.9800,168.0300,168.0300,233536,0.0000,1.0000
2019-12-16,167.6300,169.3900,166.3500,167.0200,167.0200,267486,0.0000,1.0000
2019-12-13,169.0000,169.5000,165.2000,166.0700,166.0700,304280,0.0000,1.0000
2019-12-12,164.0400,167.1850,163.4250,166.5500,166.5500,239903,0.0000,1.0000
2019-12-11,163.9300,167.3100,162.9600,164.1800,164.1800,282367,0.0000,1.0000
2019-12-10,164.6400,166.4150,164.0000,164.2500,164.2500,261835,0.0000,1.0000
2019-12-09,167.8500,169.1700,164.2300,165.5600,165.5600,338887,0.0000,1.0000
2019-12-06,169.8000,171.8000,165.7300,167.6100,167.6100,387582,0.0000,1.0000
2019-12-05,168.3000,169.3950,166.2000,167.5500,167.5500,296561,0.0000,1.0000
2019-12-04,164.1400,167.2000,163.5400,167.0900,167.0900,277804,0.0000,1.0000
2019-12-03,163.7800,164.1900,161.7700,163.9700,163.9700,239965,0.0000,1.0000
2019-12-02,165.3500,165.6400,162.2800,164.6300,164.6300,208301,0.0000,1.0000
2019-11-29,167.6400,168.0000,164.6100,165.5800,165.5800,101863,0.0000,1.0000
2019-11-27,166.8600,168.5600,164.8000,167.7500,167.7500,155884,0.0000,1.0000
2019-11-26,166.4200,167.4400,163.8400,166.7600,166.7600,208477,0.0000,1.0000
2019-11-25,159.6100,166.9000,159.0000,166.4100,166.4100,383440,0.0000,1.0000
2019-11-22,162.6800,163.1300,158.3200,158.9500,158.9500,299370,0.0000,1.0000
2019-11-21,165.5100,165.9900,160.6000,162.8400,162.8400,276612,0.0000,1.0000
2019-11-20,165.2500,167.0000,164.2000,165.7100,165.7100,332124,0.0000,1.0000
2019-11-19,163.5400,165.1400,161.1200,164.3200,164.3200,259189,0.0000,1.0000
2019-11-18,165.6900,166.4000,161.0500,163.3600,163.3600,394487,0.0000,1.0000
2019-11-15,165.9000,166.2200,164.2700,165.1300,165.1300,294535,0.0000,1.0000
2019-11-14,167.8500,170.3800,164.7538,165.7500,165.7500,801997,0.0000,1.0000
2019-11-13,161.6000,162.3100,157.9100,159.8700,159.8700,308976,0.0000,1.0000
2019-11-12,156.4200,162.4400,156.0000,161.8000,161.8000,478471,0.0000,1.0000
2019-11-11,156.8000,157.3000,154.5150,156.6100,156.6100,242430,0.0000,1.0000
2019-11-08,155.8600,157.5000,152.7400,157.3200,157.3200,244752,0.0000,1.0000
2019-11-07,157.0000,159.4200,154.2400,155.4400,155.4400,270688,0.0000,1.0000
2019-11-06,152.8100,154.1700,150.9600,154.0400,154.0400,136443,0.0000,1.0000
2019-11-05,153.3900,155.1100,151.6700,152.0300,152.0300,259332,0.0000,1.0000
2019-11-04,159.2700,159.3130,152.8901,153.5000,153.5000,312358,0.0000,1.0000
2019-11-01,154.8500,160.6900,154.0000,159.7600,159.7600,493960,0.0000,1.0000
2019-10-31,151.8400,155.4600,151.5700,154.8100,154.8100,311584,0.0000,1.0000
2019-10-30,152.2300,152.3100,149.1800,151.5600,151.5600,309913,0.0000,1.0000
2019-10-29,154.9200,156.6500,151.4500,152.1900,152.1900,554976,0.0000,1.0000
2019-10-28,141.0600,156.4200,140.7450,155.7100,155.7100,1437751,0.0000,1.0000
2019-10-25,130.9400,135.0850,130.1650,134.5100,134.5100,366892,0.0000,1.0000
2019-10-24,134.4900,134.5900,132.8446,132.9900,132.9900,281845,0.0000,1.0000
2019-10-23,133.7100,135.3550,132.1100,134.4100,134.4100,377494,0.0000,1.0000
2019-10-22,134.4400,134.8200,131.1000,133.6000,133.6000,393726,0.0000,1.0000
2019-10-21,141.6700,142.6050,134.0000,134.5200,134.5200,616677,0.0000,1.0000
2019-10-18,143.3200,143.7156,141.0800,141.7200,141.7200,274267,0.0000,1.0000
2019-10-17,144.7400,146.0650,137.3100,143.9200,143.9200,306463,0.0000,1.0000
2019-10-16,149.6100,150.2550,143.2300,145.5400,145.5400,257996,0.0000,1.0000
2019-10-15,149.9800,151.4800,149.1100,149.8400,149.8400,193329,0.0000,1.0000
2019-10-14,149.5400,150.3500,148.1900,149.1400,149.1400,252289,0.0000,1.0000
2019-10-11,148.2900,150.6100,147.3950,149.8300,149.8300,290381,0.0000,1.0000
2019-10-10,143.7300,147.6600,143.3100,147.2600,147.2600,304371,0.0000,1.0000
2019-10-09,142.6300,144.8700,141.5700,143.9300,143.9300,278154,0.0000,1.0000
2019-10-08,144.6100,144.6100,140.6600,141.6700,141.6700,250532,0.0000,1.0000
2019-10-07,145.1900,146.5700,143.9900,144.9200,144.9200,207512,0.0000,1.0000
2019-10-04,143.3900,145.3850,139.9300,145.0100,145.0100,282324,0.0000,1.0000
2019-10-03,146.7600,146.7600,141.7200,143.0600,143.0600,490286,0.0000,1.0000
2019-10-02,148.2000,149.1700,146.1600,146.6000,146.6000,297881,0.0000,1.0000
2019-10-01,152.1800,152.7400,148.4700,148.7200,148.7200,243783,0.0000,1.0000
2019-09-30,149.4200,152.8100,149.4200,151.3300,151.3300,236175,0.3200,1.0000
2019-09-27,154.5100,155.3900,148.4550,149.9400,149.6236,383186,0.0000,1.0000
2019-09-26,154.9400,157.5000,154.6700,154.9500,154.6230,272146,0.0000,1.0000
2019-09-25,156.1600,156.1900,154.4900,154.9600,154.6330,380236,0.0000,1.0000
2019-09-24,155.0500,156.4600,154.7300,156.0000,155.6708,280843,0.0000,1.0000
2019-09-23,154.7700,156.9000,153.7800,154.0900,153.7649,256016,0.0000,1.0000
2019-09-20,155.7500,156.3300,152.4500,155.1500,154.8226,380535,0.0000,1.0000
2019-09-19,154.4000,156.4200,153.0000,155.3100,154.9823,335130,0.0000,1.0000
2019-09-18,155.9100,157.4700,153.2000,154.6000,154.2738,272752,0.0000,1.0000
2019-09-17,154.5600,158.2150,154.0400,155.8100,155.4812,399661,0.0000,1.0000
2019-09-16,149.5400,155.1150,148.3600,153.5600,153.2360,428746,0.0000,1.0000
2019-09-13,144.2500,150.4950,144.2500,149.9300,149.6136,371665,0.0000,1.0000
2019-09-12,145.5500,146.5100,143.3000,143.9100,143.6063,319237,0.0000,1.0000
2019-09-11,147.8500,147.8500,142.2800,144.5900,144.2849,327646,0.0000,1.0000
2019-09-10,147.5000,148.0300,139.7300,147.9400,147.6278,459043,0.0000,1.0000
2019-09-09,155.1400,156.4200,148.2100,148.5000,148.1866,437493,0.0000,1.0000
2019-09-06,155.2500,156.5909,153.4200,154.4900,154.1640,342458,0.0000,1.0000
2019-09-05,155.2300,158.3200,153.0000,154.2500,153.9245,389702,0.0000,1.0000
2019-09-04,155.0000,157.3750,153.4150,155.3200,154.9923,398532,0.0000,1.0000
2019-09-03,150.6400,154.7200,149.0200,154.3900,154.0642,502058,0.0000,1.0000
2019-08-30,147.2800,151.7900,146.8600,149.6200,149.3043,415967,0.0000,1.0000
2019-08-29,136.5500,149.4200,130.7500,147.7200,147.4083,588296,0.0000,1.0000
2019-08-28,141.2000,142.6800,140.3500,142.2400,141.9399,295433,0.0000,1.0000
2019-08-27,145.5300,145.5300,141.0700,141.1900,140.8921,413373,0.0000,1.0000
2019-08-26,146.9500,146.9500,144.1800,145.0200,144.7140,315140,0.0000,1.0000
2019-08-23,147.3500,147.4450,144.0200,145.9600,145.6520,314667,0.0000,1.0000
2019-08-22,146.1100,149.4900,145.0100,147.6200,147.3085,277167,0.0000,1.0000
2019-08-21,145.2900,146.2900,143.5450,145.4700,145.1630,196725,0.0000,1.0000
2019-08-20,144.5400,146.2700,143.1900,144.3300,144.0254,244037,0.0000,1.0000
2019-08-19,145.0300,145.2800,141.1900,144.4100,144.1053,266277,0.0000,1.0000
2019-08-16,142.5400,144.1700,141.4000,143.4000,143.0974,386879,0.0000,1.0000
2019-08-15,141.3000,142.7500,140.0700,141.7000,141.4010,235423,0.0000,1.0000
2019-08-14,141.4500,143.0200,140.5400,140.6300,140.3333,246543,0.0000,1.0000
2019-08-13,144.8300,149.5400,142.1200,143.1000,142.7980,384580,0.0000,1.0000
2019-08-12,137.0000,144.5200,134.3000,144.0300,143.7261,705603,0.0000,1.0000
2019-08-09,137.7800,139.1500,136.9800,137.2400,136.9504,249492,0.0000,1.0000
2019-08-08,134.6500,139.5800,133.9400,138.1000,137.8086,337550,0.0000,1.0000
2019-08-07,132.0900,134.3800,128.7500,134.0700,133.7871,204071,0.0000,1.0000
2019-08-06,135.1000,135.1100,131.5200,132.5900,132.3102,221480,0.0000,1.0000
2019-08-05,133.2200,137.0900,132.8355,134.7300,134.4457,511714,0.0000,1.0000
2019-08-02,133.6200,134.5600,132.4800,133.6800,133.3979,268511,0.0000,1.0000
2019-08-01,132.2200,135.1600,131.1300,134.2800,133.9967,510066,0.0000,1.0000
2019-07-31,133.4000,134.7900,129.4600,131.0200,130.7435,333176,0.0000,1.0000
2019-07-30,132.5200,134.9800,131.3000,133.7400,133.4578,364073,0.0000,1.0000
2019-07-29,131.2400,133.0800,130.3700,132.1300,131.8512,272147,0.3200,1.0000
2019-07-26,133.6500,133.9100,131.0600,131.3600,130.7661,442667,0.0000,1.0000
2019-07-25,130.3100,134.3200,130.3100,133.8900,133.2847,346532,0.0000,1.0000
2019-07-24,129.8500,130.6100,128.9400,130.1900,129.6014,357255,0.0000,1.0000
2019-07-23,131.4200,132.0500,130.0000,130.6400,130.0494,340345,0.0000,1.0000
2019-07-22,129.7000,132.5800,129.7000,130.7600,130.1688,265095,0.0000,1.0000
2019-07-19,131.7700,132.8800,129.7400,129.9800,129.3924,325116,0.0000,1.0000
2019-07-18,129.6300,132.1800,127.9300,131.5050,130.9105,394206,0.0000,1.0000
2019-07-17,129.2700,130.1450,128.5800,128.6100,128.0286,263876,0.0000,1.0000
2019-07-16,134.7700,135.1900,129.7600,129.8200,129.2331,386414,0.0000,1.0000
2019-07-15,133.8900,135.2500,132.1100,135.0500,134.4394,367127,0.0000,1.0000
2019-07-12,136.8700,136.8900,132.3600,135.2600,134.6485,321203,0.0000,1.0000
2019-07-11,140.7600,141.6300,136.5200,136.8200,136.2014,302916,0.0000,1.0000
2019-07-10,139.8900,142.1000,139.4100,140.4800,139.8449,273741,0.0000,1.0000
2019-07-09,139.2100,141.0000,138.9000,140.0800,139.4467,294007,0.0000,1.0000
2019-07-08,143.4500,144.2400,138.8400,139.4700,138.8395,234921,0.0000,1.0000
2019-07-05,141.8100,142.8700,139.5052,142.4300,141.7861,193102,0.0000,1.0000
2019-07-03,140.7200,142.6600,139.8000,142.2900,141.6467,169039,0.0000,1.0000
2019-07-02,140.1900,141.6235,139.2100,140.8300,140.1933,299368,0.0000,1.0000
2019-07-01,137.4800,140.9100,135.5700,140.1000,139.4666,482260,0.0000,1.0000
2019-06-28,131.6400,137.0800,131.0000,136.5600,135.9426,1046337,0.0000,1.0000
2019-06-27,130.2500,132.2800,129.6000,131.7300,131.1344,220335,0.0000,1.0000
2019-06-26,131.1700,131.7800,129.2150,130.0700,129.4819,338580,0.0000,1.0000
2019-06-25,133.7800,134.9501,127.5100,131.0300,130.4376,615123,0.0000,1.0000
2019-06-24,133.2900,135.0300,132.7700,134.0000,133.3942,246762,0.0000,1.0000
2019-06-21,133.8600,135.1300,131.7900,133.5400,132.9363,393982,0.0000,1.0000
2019-06-20,134.4100,134.9700,132.9400,134.4300,133.8222,289035,0.0000,1.0000
2019-06-19,132.9300,133.9250,130.8000,133.5500,132.9462,310776,0.0000,1.0000
2019-06-18,133.7300,136.2500,132.1700,133.4500,132.8467,431246,0.0000,1.0000
