timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,48.3400,48.5700,48.1100,48.3500,48.3500,718012,0.0000,1.0000
2020-01-22,48.6900,49.2000,48.4300,48.6100,48.6100,636809,0.0000,1.0000
2020-01-21,48.2500,48.5700,48.0700,48.4900,48.4900,478669,0.0000,1.0000
2020-01-17,48.5000,48.7300,48.3855,48.5000,48.5000,433139,0.0000,1.0000
2020-01-16,48.1200,48.4700,48.0300,48.4500,48.4500,491124,0.0000,1.0000
2020-01-15,47.6900,48.2200,47.6200,47.9500,47.9500,661294,0.0000,1.0000
2020-01-14,47.5500,47.7000,47.0200,47.6200,47.6200,562408,0.0000,1.0000
2020-01-13,47.4100,47.7500,47.3600,47.7000,47.7000,392102,0.0000,1.0000
2020-01-10,47.1400,47.5400,46.9200,47.4100,47.4100,506641,0.0000,1.0000
2020-01-09,46.8300,47.3100,46.6400,46.9800,46.9800,526697,0.0000,1.0000
2020-01-08,46.4200,47.0400,46.1700,46.6300,46.6300,1098822,0.0000,1.0000
2020-01-07,46.6900,47.5000,46.5100,46.5400,46.5400,747910,0.0000,1.0000
2020-01-06,46.1400,46.7200,46.1100,46.6300,46.6300,766453,0.0000,1.0000
2020-01-03,45.7100,46.3150,45.6200,46.2700,46.2700,668722,0.0000,1.0000
2020-01-02,46.2200,46.2500,45.6500,46.2000,46.2000,657292,0.0000,1.0000
2019-12-31,46.1700,46.5000,45.9750,46.0300,46.0300,832125,0.0000,1.0000
2019-12-30,46.1200,46.2500,45.9000,46.1500,46.1500,493262,0.0000,1.0000
2019-12-27,46.1200,46.3300,45.9600,46.1400,46.1400,578502,0.0000,1.0000
2019-12-26,45.8200,46.4300,45.6300,46.0500,46.0500,393441,0.0000,1.0000
2019-12-24,45.9600,46.0100,45.6900,45.7000,45.7000,241649,0.0000,1.0000
2019-12-23,45.8900,45.9300,45.5900,45.8700,45.8700,553135,0.0000,1.0000
2019-12-20,45.6800,46.1300,45.6500,45.8100,45.8100,2532460,0.0000,1.0000
2019-12-19,45.7900,45.9700,45.4150,45.5500,45.5500,628853,0.0000,1.0000
2019-12-18,45.6800,46.0100,45.6239,45.8000,45.8000,960097,0.0000,1.0000
2019-12-17,45.6900,45.8700,45.4800,45.6400,45.6400,761389,0.0000,1.0000
2019-12-16,45.7900,45.9700,45.5500,45.5900,45.5900,766145,0.0000,1.0000
2019-12-13,45.2500,45.9200,45.1400,45.6500,45.6500,882298,0.0000,1.0000
2019-12-12,45.0400,45.7500,44.9900,45.4000,45.4000,917265,0.1800,1.0000
2019-12-11,44.5400,45.3600,44.3800,45.2500,45.0713,1272060,0.0000,1.0000
2019-12-10,43.8000,44.3950,43.6000,44.3600,44.1848,1100273,0.0000,1.0000
2019-12-09,44.1500,44.4000,43.5200,43.7900,43.6171,1039639,0.0000,1.0000
2019-12-06,44.0900,44.4101,43.9550,44.0100,43.8362,1289302,0.0000,1.0000
2019-12-05,43.5200,43.8750,43.4700,43.8200,43.6470,690898,0.0000,1.0000
2019-12-04,43.2400,43.6500,43.2400,43.4400,43.2685,867605,0.0000,1.0000
