timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,9.4500,9.5300,9.4500,9.4800,9.4800,44260,0.0000,1.0000
2020-01-22,9.5300,9.5900,9.4200,9.4800,9.4800,54826,0.0000,1.0000
2020-01-21,9.5600,9.5620,9.4800,9.5300,9.5300,35349,0.0000,1.0000
2020-01-17,9.4900,9.5700,9.4900,9.5300,9.5300,30083,0.0000,1.0000
2020-01-16,9.4400,9.5600,9.4400,9.4900,9.4900,40694,0.0000,1.0000
2020-01-15,9.3600,9.5300,9.3600,9.5000,9.5000,70231,0.0000,1.0000
2020-01-14,9.3400,9.4500,9.3300,9.3500,9.3500,91165,0.0000,1.0000
2020-01-13,9.4300,9.5000,9.3300,9.3300,9.3300,36657,0.0000,1.0000
2020-01-10,9.3500,9.5100,9.3500,9.4200,9.4200,29165,0.0000,1.0000
2020-01-09,9.5000,9.5000,9.3200,9.3500,9.3500,53412,0.0000,1.0000
2020-01-08,9.4900,9.5400,9.4600,9.5300,9.5300,35579,0.0000,1.0000
2020-01-07,9.5200,9.5450,9.4500,9.4900,9.4900,24628,0.0000,1.0000
2020-01-06,9.4500,9.5600,9.4500,9.5300,9.5300,40121,0.0000,1.0000
2020-01-03,9.5700,9.5800,9.4600,9.4900,9.4900,13293,0.0000,1.0000
2020-01-02,9.4300,9.6000,9.4200,9.6000,9.6000,42074,0.0000,1.0000
2019-12-31,9.4000,9.5100,9.4000,9.4600,9.4600,59168,0.0000,1.0000
2019-12-30,9.5200,9.5400,9.4200,9.4300,9.4300,34470,0.0000,1.0000
2019-12-27,9.4700,9.5200,9.4400,9.4600,9.4600,35104,0.0000,1.0000
2019-12-26,9.4600,9.5500,9.4500,9.4500,9.4500,47560,0.0000,1.0000
2019-12-24,9.5000,9.5100,9.4400,9.4400,9.4400,10933,0.0000,1.0000
2019-12-23,9.4200,9.5500,9.4200,9.4600,9.4600,31490,0.0000,1.0000
2019-12-20,9.5900,9.6000,9.4800,9.4800,9.4800,19699,0.0000,1.0000
2019-12-19,9.5000,9.6400,9.4839,9.6000,9.6000,58544,0.0000,1.0000
2019-12-18,9.3100,9.6300,9.3100,9.5000,9.5000,55242,0.0000,1.0000
2019-12-17,9.3100,9.3800,9.3000,9.3400,9.3400,102598,0.0000,1.0000
2019-12-16,9.4000,9.4100,9.2200,9.3200,9.3200,64908,0.0000,1.0000
2019-12-13,9.5500,9.5700,9.3600,9.3800,9.3800,65212,0.0000,1.0000
2019-12-12,9.5800,9.6100,9.4900,9.5500,9.5500,27102,0.0000,1.0000
2019-12-11,9.5571,9.6300,9.5100,9.5700,9.5700,33238,0.0000,1.0000
2019-12-10,9.3800,9.5900,9.3800,9.5900,9.5900,42706,0.0000,1.0000
2019-12-09,9.6200,9.6200,9.4300,9.4400,9.4400,34360,0.0000,1.0000
2019-12-06,9.6000,9.7900,9.4700,9.7100,9.7100,112794,0.0000,1.0000
2019-12-05,9.2400,9.5600,9.2400,9.5600,9.5600,69235,0.0000,1.0000
2019-12-04,9.3800,9.4800,9.2300,9.2500,9.2500,76563,0.0000,1.0000
2019-12-03,9.3800,9.4500,9.3100,9.3800,9.3800,55944,0.0000,1.0000
2019-12-02,9.4000,9.5100,9.3700,9.4000,9.4000,69756,0.0000,1.0000
2019-11-29,9.1900,9.5200,9.1900,9.3900,9.3900,36028,0.0000,1.0000
2019-11-27,9.2000,9.3500,9.1800,9.2700,9.2700,48855,0.0000,1.0000
2019-11-26,9.3300,9.4000,9.1700,9.2000,9.2000,137588,0.0000,1.0000
2019-11-25,9.3500,9.4700,9.3450,9.3700,9.3700,47955,0.0000,1.0000
2019-11-22,9.3300,9.4900,9.3300,9.3600,9.3600,22727,0.0000,1.0000
2019-11-21,9.3600,9.4600,9.3000,9.3600,9.3600,47308,0.0000,1.0000
2019-11-20,9.4100,9.5200,9.3700,9.3700,9.3700,32694,0.0000,1.0000
2019-11-19,9.3400,9.4900,9.3400,9.4200,9.4200,34813,0.0000,1.0000
2019-11-18,9.3200,9.4900,9.3200,9.3700,9.3700,66169,0.0000,1.0000
2019-11-15,9.4000,9.5000,9.3100,9.3400,9.3400,51076,0.0000,1.0000
2019-11-14,9.3600,9.4900,9.3200,9.4100,9.4100,45545,0.0000,1.0000
2019-11-13,9.2300,9.4100,9.2300,9.3700,9.3700,45583,0.0000,1.0000
2019-11-12,9.3100,9.3500,9.2300,9.2500,9.2500,47989,0.0000,1.0000
2019-11-11,9.0700,9.3300,9.0500,9.3200,9.3200,32486,0.0000,1.0000
2019-11-08,9.1400,9.2200,8.9900,9.0300,9.0300,111761,0.0000,1.0000
2019-11-07,9.2600,9.3200,9.0600,9.1000,9.1000,131066,0.0000,1.0000
2019-11-06,9.2900,9.3800,9.2600,9.2800,9.2800,75284,0.0000,1.0000
2019-11-05,9.4000,9.4000,9.2900,9.3000,9.3000,82896,0.0000,1.0000
2019-11-04,9.3600,9.4300,9.3600,9.3900,9.3900,38297,0.0000,1.0000
2019-11-01,9.3500,9.3700,9.2500,9.3500,9.3500,36693,0.0000,1.0000
2019-10-31,9.2900,9.4100,9.2600,9.2900,9.2900,49017,0.0000,1.0000
2019-10-30,9.1900,9.4350,9.1900,9.3000,9.3000,54673,0.0000,1.0000
2019-10-29,9.2500,9.3000,9.1600,9.1900,9.1900,52184,0.0000,1.0000
2019-10-28,9.3300,9.3550,9.2500,9.2600,9.2600,30754,0.0000,1.0000
2019-10-25,9.2400,9.5900,9.2170,9.3500,9.3500,68709,0.1250,1.0000
2019-10-24,9.4300,9.4300,9.2800,9.3000,9.1773,36346,0.0000,1.0000
2019-10-23,9.4100,9.4900,9.3500,9.3700,9.2464,72229,0.0000,1.0000
2019-10-22,9.2600,9.5300,9.2094,9.4000,9.2760,52051,0.0000,1.0000
2019-10-21,9.2300,9.3200,8.9100,9.2500,9.1280,126019,0.0000,1.0000
2019-10-18,9.3000,9.4000,9.2400,9.2600,9.1378,47032,0.0000,1.0000
2019-10-17,9.3100,9.4044,9.2500,9.2500,9.1280,40192,0.0000,1.0000
2019-10-16,9.4200,9.4900,9.3200,9.3500,9.2266,55571,0.0000,1.0000
2019-10-15,9.4700,9.4900,9.3700,9.4200,9.2957,32365,0.0000,1.0000
2019-10-14,9.4200,9.5200,9.4200,9.4500,9.3253,21741,0.0000,1.0000
2019-10-11,9.4900,9.5900,9.4100,9.4100,9.2859,26509,0.0000,1.0000
2019-10-10,9.4700,9.5300,9.4600,9.4600,9.3352,33912,0.0000,1.0000
2019-10-09,9.4300,9.4955,9.3900,9.3900,9.2661,33496,0.0000,1.0000
2019-10-08,9.4900,9.5500,9.4600,9.4700,9.3451,45735,0.0000,1.0000
2019-10-07,9.5012,9.5800,9.4900,9.4900,9.3648,20658,0.0000,1.0000
2019-10-04,9.4400,9.5500,9.4400,9.4900,9.3648,54092,0.0000,1.0000
2019-10-03,9.4900,9.5600,9.4700,9.4900,9.3648,36434,0.0000,1.0000
2019-10-02,9.4900,9.5400,9.4600,9.5000,9.3747,43181,0.0000,1.0000
2019-10-01,9.4700,9.5200,9.4500,9.4600,9.3352,23773,0.0000,1.0000
2019-09-30,9.3900,9.5200,9.3900,9.4700,9.3451,49984,0.0000,1.0000
2019-09-27,9.3416,9.4400,9.3400,9.4000,9.2760,33190,0.0000,1.0000
2019-09-26,9.3300,9.4600,9.1900,9.2900,9.1674,66010,0.0000,1.0000
2019-09-25,9.4200,9.5000,9.4100,9.4500,9.3253,30137,0.0000,1.0000
2019-09-24,9.5500,9.5700,9.3900,9.4500,9.3253,73761,0.0000,1.0000
2019-09-23,9.5000,9.5800,9.5000,9.5000,9.3747,29946,0.0000,1.0000
2019-09-20,9.4500,9.5700,9.4400,9.5000,9.3747,76528,0.0000,1.0000
2019-09-19,9.3700,9.5000,9.3500,9.4600,9.3352,41981,0.0000,1.0000
2019-09-18,9.4400,9.4900,9.4000,9.4000,9.2760,45309,0.0000,1.0000
2019-09-17,9.4300,9.4400,9.3600,9.4300,9.3056,75894,0.0000,1.0000
2019-09-16,9.4300,9.4400,9.3300,9.4100,9.2859,54629,0.0000,1.0000
2019-09-13,9.4600,9.5000,9.3500,9.4100,9.2859,42208,0.0000,1.0000
2019-09-12,9.5400,9.5500,9.4400,9.4600,9.3352,33295,0.0000,1.0000
2019-09-11,9.4700,9.5500,9.4300,9.5400,9.4141,19075,0.0000,1.0000
2019-09-10,9.3800,9.5100,9.3800,9.4600,9.3352,44793,0.0000,1.0000
2019-09-09,9.3300,9.4200,9.3300,9.3800,9.2563,32979,0.0000,1.0000
2019-09-06,9.3500,9.4100,9.3300,9.3300,9.2069,30866,0.0000,1.0000
2019-09-05,9.6000,9.6000,9.3300,9.3600,9.2365,42346,0.0000,1.0000
