timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,594.1600,596.6300,589.4521,596.5400,596.5400,392539,0.0000,1.0000
2020-01-22,596.0800,596.6050,590.8900,592.9300,592.9300,357239,0.0000,1.0000
2020-01-21,594.4500,598.2450,590.3500,593.0600,593.0600,532013,0.0000,1.0000
2020-01-17,586.3400,595.0700,583.8300,594.4700,594.4700,714452,0.0000,1.0000
2020-01-16,589.8200,589.8200,581.7900,584.9800,584.9800,498306,0.0000,1.0000
2020-01-15,576.1300,587.7950,573.9600,584.5600,584.5600,486827,0.0000,1.0000
2020-01-14,574.7400,578.9700,572.5600,574.4700,574.4700,603387,0.0000,1.0000
2020-01-13,567.4700,575.2500,566.3300,574.8600,574.8600,435450,0.0000,1.0000
2020-01-10,567.8500,571.1900,566.2600,567.0900,567.0900,333958,0.0000,1.0000
2020-01-09,571.6100,573.1400,562.7550,565.6300,565.6300,748399,0.0000,1.0000
2020-01-08,562.0400,570.3300,561.0000,569.2800,569.2800,628822,0.0000,1.0000
2020-01-07,565.7000,566.1400,559.3949,560.3600,560.3600,601214,0.0000,1.0000
2020-01-06,562.2300,565.7161,560.9200,563.4100,563.4100,642008,0.0000,1.0000
2020-01-03,565.3400,571.5300,564.2900,564.4500,564.4500,545247,0.0000,1.0000
2020-01-02,585.0500,585.1200,568.7400,571.8500,571.8500,648589,0.0000,1.0000
2019-12-31,578.1000,583.8250,576.8400,583.5400,583.5400,289070,0.0000,1.0000
2019-12-30,578.2500,580.8100,577.1800,578.7400,578.7400,231979,0.0000,1.0000
2019-12-27,583.7300,585.0600,580.8800,581.6900,581.6900,175077,0.0000,1.0000
2019-12-26,582.0200,582.1800,577.2565,581.6000,581.6000,151068,0.0000,1.0000
2019-12-24,580.3700,583.9500,579.2100,581.1400,581.1400,98118,0.0000,1.0000
2019-12-23,581.9100,584.1900,579.4600,583.2600,583.2600,232385,0.0000,1.0000
2019-12-20,581.2700,582.6099,576.1500,580.9800,580.9800,741518,0.0000,1.0000
2019-12-19,573.9700,579.6700,571.7000,577.8500,577.8500,380350,0.0000,1.0000
2019-12-18,579.7300,579.7300,570.2400,572.6100,572.6100,334713,0.0000,1.0000
2019-12-17,580.1200,580.6620,576.2000,578.1400,578.1400,378653,0.0000,1.0000
2019-12-16,574.2900,580.8900,571.2600,579.5100,579.5100,452766,0.0000,1.0000
2019-12-13,575.0000,579.2000,572.0000,572.2300,572.2300,404511,0.0000,1.0000
2019-12-12,575.2500,580.5300,574.9300,576.8100,576.8100,434709,0.0000,1.0000
2019-12-11,573.5500,575.7100,570.1700,575.4900,575.4900,255709,0.0000,1.0000
2019-12-10,574.6800,575.7516,570.3600,570.8500,570.8500,414357,0.0000,1.0000
2019-12-09,577.8500,579.2363,574.4200,576.5700,576.5700,255349,0.0000,1.0000
2019-12-06,577.9200,580.7100,573.2600,578.5400,578.5400,333568,0.0000,1.0000
2019-12-05,574.4200,575.5900,567.5550,572.5000,572.5000,397428,0.0000,1.0000
2019-12-04,579.3200,583.0000,570.7900,571.3100,571.3100,426630,0.0000,1.0000
2019-12-03,571.7200,578.3300,570.0000,577.9100,577.9100,462882,0.0000,1.0000
2019-12-02,580.5700,580.5700,573.0000,574.8300,574.8300,333773,0.0000,1.0000
2019-11-29,584.4100,586.5600,580.7900,583.1300,583.1300,236541,0.0000,1.0000
2019-11-27,585.2900,586.9900,582.2250,584.8600,584.8600,306005,0.0000,1.0000
2019-11-26,581.0900,587.4200,579.3600,587.1800,587.1800,721135,0.0000,1.0000
2019-11-25,577.7400,582.2000,576.3328,580.0100,580.0100,426964,0.0000,1.0000
2019-11-22,569.9100,576.0000,568.2400,574.8300,574.8300,662144,0.0000,1.0000
2019-11-21,573.0100,576.6400,566.6200,568.5600,568.5600,722023,0.0000,1.0000
2019-11-20,584.1900,584.1900,572.6300,576.0200,576.0200,627399,0.0000,1.0000
2019-11-19,587.8100,588.6400,583.1700,584.2000,584.2000,687989,0.0000,1.0000
2019-11-18,581.0100,591.7000,580.5400,586.0800,586.0800,484342,0.0000,1.0000
2019-11-15,595.0000,597.0000,591.0900,592.7700,592.7700,377266,0.0000,1.0000
2019-11-14,587.0000,595.0000,585.6600,593.4500,593.4500,285869,1.1300,1.0000
2019-11-13,586.6600,593.0900,585.0000,589.7400,588.6192,387929,0.0000,1.0000
2019-11-12,579.4800,589.3000,578.8500,587.2400,586.1239,450846,0.0000,1.0000
2019-11-11,578.4500,583.0000,577.6750,579.4100,578.3088,325419,0.0000,1.0000
2019-11-08,571.3800,581.4600,570.4531,581.3500,580.2451,376513,0.0000,1.0000
2019-11-07,578.1700,578.1800,567.0650,569.4600,568.3777,597790,0.0000,1.0000
2019-11-06,565.2900,575.8100,564.5800,575.2400,574.1468,522470,0.0000,1.0000
2019-11-05,568.5100,573.9900,558.7500,564.9100,563.8364,829862,0.0000,1.0000
2019-11-04,584.2800,584.5300,570.8750,571.0000,569.9148,610370,0.0000,1.0000
2019-11-01,575.8600,580.4100,573.0100,579.6400,578.5384,511112,0.0000,1.0000
2019-10-31,587.5000,589.0000,571.5800,572.3200,571.2323,790293,0.0000,1.0000
2019-10-30,582.3500,587.1400,577.7800,586.2300,585.1159,536818,0.0000,1.0000
2019-10-29,575.3500,583.3100,575.3500,581.6100,580.5046,615078,0.0000,1.0000
2019-10-28,575.0300,581.2200,575.0300,578.2400,577.1411,528837,0.0000,1.0000
2019-10-25,575.7500,580.0000,573.1000,574.9300,573.8373,432872,0.0000,1.0000
2019-10-24,566.8500,575.0000,566.2550,574.0500,572.9590,483744,0.0000,1.0000
2019-10-23,570.0000,570.0000,558.3800,563.8700,562.7984,613522,0.0000,1.0000
2019-10-22,557.5000,578.3600,546.1700,566.8900,565.8126,1108353,0.0000,1.0000
2019-10-21,561.5500,562.7600,549.4300,550.4100,549.3639,821934,0.0000,1.0000
2019-10-18,557.7100,562.1475,557.0100,560.8600,559.7941,454210,0.0000,1.0000
2019-10-17,564.1900,567.0000,559.1200,560.5400,559.4747,415293,0.0000,1.0000
2019-10-16,558.2200,565.1500,555.9300,564.2400,563.1677,403756,0.0000,1.0000
2019-10-15,555.9600,559.5600,552.6900,558.8900,557.8278,424749,0.0000,1.0000
2019-10-14,551.1500,555.9100,549.1900,550.3500,549.3041,292963,0.0000,1.0000
2019-10-11,563.4000,564.4400,548.7900,550.0100,548.9647,721198,0.0000,1.0000
2019-10-10,556.3700,558.8500,552.6200,558.7000,557.6382,447683,0.0000,1.0000
2019-10-09,545.0000,557.0800,545.0000,555.6600,554.6040,404735,0.0000,1.0000
2019-10-08,545.3300,551.0000,541.6200,545.9400,544.9024,395125,0.0000,1.0000
2019-10-07,547.6200,553.4800,546.8400,549.2800,548.2361,306919,0.0000,1.0000
2019-10-04,545.7600,552.4300,545.7600,548.8400,547.7969,359518,0.0000,1.0000
2019-10-03,541.0200,545.0900,536.8700,543.1900,542.1577,357444,0.0000,1.0000
2019-10-02,543.5600,545.4500,534.8100,541.0100,539.9818,543313,0.0000,1.0000
2019-10-01,551.1000,553.1100,543.4900,544.8600,543.8245,486402,0.0000,1.0000
2019-09-30,545.9200,550.5200,545.5300,549.8700,548.8250,360879,0.0000,1.0000
2019-09-27,551.6600,551.6600,541.8600,544.2800,543.2456,359884,0.0000,1.0000
2019-09-26,545.2500,550.5400,541.3150,548.3500,547.3079,283143,0.0000,1.0000
2019-09-25,545.9600,546.5100,538.2700,544.5400,543.5051,471661,0.0000,1.0000
2019-09-24,547.3200,552.0950,538.9200,542.5000,541.4690,544861,0.0000,1.0000
2019-09-23,548.1000,550.6500,541.1500,541.6500,540.6206,497654,0.0000,1.0000
2019-09-20,552.1700,554.0800,545.4600,550.5400,549.4937,810783,0.0000,1.0000
2019-09-19,540.1400,550.7300,537.5200,549.7800,548.7351,526904,0.0000,1.0000
