timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,106.7400,109.0700,106.1350,108.3800,108.3800,1149405,0.0000,1.0000
2020-01-22,107.8200,108.6600,106.9900,106.9900,106.9900,651211,0.0000,1.0000
2020-01-21,106.3700,107.8500,105.2100,107.8000,107.8000,959517,0.0000,1.0000
2020-01-17,105.0900,107.1800,104.7300,106.3900,106.3900,1083152,0.0000,1.0000
2020-01-16,104.7500,105.6600,104.4300,104.9900,104.9900,1624389,0.0000,1.0000
2020-01-15,104.6100,105.4900,104.4600,104.5500,104.5500,816557,0.0000,1.0000
2020-01-14,105.0900,105.3100,104.0100,104.4000,104.4000,1110017,0.0000,1.0000
2020-01-13,104.5700,105.2800,104.3500,105.2400,105.2400,951916,0.0000,1.0000
2020-01-10,103.5600,104.7200,103.2100,104.3800,104.3800,697548,0.0000,1.0000
2020-01-09,103.1900,104.1700,102.6600,103.6100,103.6100,902915,0.0000,1.0000
2020-01-08,102.5900,104.0000,102.2400,103.3000,103.3000,1009871,0.0000,1.0000
2020-01-07,103.0500,103.6800,101.4300,102.2500,102.2500,791793,0.0000,1.0000
2020-01-06,102.5100,103.7800,102.1000,103.7100,103.7100,1111825,0.0000,1.0000
2020-01-03,102.4400,102.8600,101.8900,102.2900,102.2900,666360,0.0000,1.0000
2020-01-02,104.1300,104.3900,101.7700,102.1400,102.1400,713089,0.0000,1.0000
2019-12-31,102.9200,104.1400,102.8401,104.1300,104.1300,687565,0.0000,1.0000
2019-12-30,103.2000,103.6500,102.7400,103.1500,103.1500,466861,0.0000,1.0000
2019-12-27,102.9100,103.2800,102.7000,103.1000,103.1000,457263,0.0000,1.0000
2019-12-26,103.6800,103.7900,102.2200,102.6500,102.6500,418121,0.0000,1.0000
2019-12-24,103.3600,103.9100,103.0300,103.7500,103.7500,207536,0.0000,1.0000
2019-12-23,104.0600,104.1800,102.8700,103.3700,103.3700,688097,0.0000,1.0000
2019-12-20,104.6400,104.9176,103.5800,103.7100,103.7100,1439890,0.0000,1.0000
