timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,108.2100,109.3300,107.2500,108.3300,108.3300,398380,0.0000,1.0000
2020-01-22,109.4300,110.2400,107.8000,108.6200,108.6200,309256,0.0000,1.0000
2020-01-21,111.0800,111.7600,108.8000,109.0700,109.0700,375017,0.0000,1.0000
2020-01-17,110.7700,112.2300,110.5200,111.6500,111.6500,229592,0.0000,1.0000
2020-01-16,110.9000,111.4300,110.1700,110.7300,110.7300,330709,0.0000,1.0000
2020-01-15,110.5000,111.4700,110.0100,110.4100,110.4100,392273,0.0000,1.0000
2020-01-14,110.0400,111.3450,110.0000,110.8000,110.8000,359005,0.0000,1.0000
2020-01-13,108.0000,110.6000,107.3500,109.9700,109.9700,469315,0.0000,1.0000
2020-01-10,106.3500,107.9900,105.4300,107.9000,107.9000,311559,0.0000,1.0000
2020-01-09,105.4700,106.6500,104.8600,105.9800,105.9800,414701,0.0000,1.0000
2020-01-08,105.6600,105.7800,103.4700,105.0600,105.0600,290710,0.0000,1.0000
2020-01-07,104.8200,106.6300,104.3800,105.6300,105.6300,354996,0.0000,1.0000
2020-01-06,105.6400,105.8950,103.7300,105.0600,105.0600,441763,0.0000,1.0000
2020-01-03,105.3000,107.2600,105.3000,106.8400,106.8400,339172,0.0000,1.0000
2020-01-02,106.5100,106.8400,104.8500,105.6400,105.6400,343703,0.0000,1.0000
2019-12-31,105.6300,106.5500,105.6300,106.1800,106.1800,253793,0.0000,1.0000
2019-12-30,106.6500,107.1774,105.3500,105.8000,105.8000,271361,0.0000,1.0000
2019-12-27,106.9100,107.3800,106.2000,106.7500,106.7500,392627,0.0000,1.0000
2019-12-26,106.6900,107.5150,106.2700,106.5900,106.5900,360837,0.0000,1.0000
2019-12-24,106.5300,107.5300,106.3500,106.6100,106.6100,124161,0.0000,1.0000
2019-12-23,106.6000,106.7800,105.4700,106.5200,106.5200,503712,0.0000,1.0000
2019-12-20,103.6000,106.5600,103.3800,106.5600,106.5600,892882,0.0000,1.0000
2019-12-19,103.1000,103.8200,102.6700,103.1600,103.1600,183614,0.0000,1.0000
2019-12-18,103.2400,104.0400,102.2000,103.4400,103.4400,224706,0.0000,1.0000
2019-12-17,103.6000,104.4100,103.1500,103.5200,103.5200,207022,0.0000,1.0000
2019-12-16,102.5100,104.6800,102.2900,103.5300,103.5300,573579,0.0000,1.0000
2019-12-13,101.4000,102.0100,100.4400,101.6500,101.6500,183530,0.0000,1.0000
2019-12-12,102.5100,102.7850,101.0150,101.4400,101.4400,237366,0.0000,1.0000
2019-12-11,101.2300,103.4100,101.1884,103.1600,103.1600,291670,0.0000,1.0000
2019-12-10,100.6300,101.4300,100.2898,100.9400,100.9400,265799,0.0000,1.0000
2019-12-09,102.0700,102.5400,100.8074,100.9500,100.9500,229510,0.0000,1.0000
2019-12-06,101.1700,103.3650,101.1700,102.3300,102.3300,304464,0.0000,1.0000
2019-12-05,101.5400,101.8300,99.6800,100.5300,100.5300,340525,0.0000,1.0000
2019-12-04,101.9200,103.3600,101.3800,101.5600,101.5600,338586,0.0000,1.0000
2019-12-03,100.0900,101.8300,99.9300,101.6500,101.6500,299317,0.0000,1.0000
2019-12-02,101.0800,101.0800,99.5000,100.4400,100.4400,416713,0.0000,1.0000
