timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,166.6700,168.6194,165.6200,168.4400,168.4400,184350,0.0000,1.0000
2020-01-22,169.3600,169.5900,167.1800,167.6500,167.6500,256854,0.0000,1.0000
2020-01-21,169.7500,169.9900,167.9100,168.8100,168.8100,396456,0.0000,1.0000
2020-01-17,169.2800,171.6500,168.5200,170.0000,170.0000,429036,0.0000,1.0000
2020-01-16,168.2300,169.5700,167.8590,168.6700,168.6700,255260,0.0000,1.0000
2020-01-15,167.9600,168.5300,165.8400,167.1700,167.1700,309672,0.0000,1.0000
2020-01-14,167.8000,169.6500,167.3900,168.4700,168.4700,182905,0.0000,1.0000
2020-01-13,167.0600,167.5123,166.3200,167.4800,167.4800,162338,0.0000,1.0000
2020-01-10,166.6600,167.2100,165.4300,166.5500,166.5500,227594,0.0000,1.0000
2020-01-09,167.1700,167.4800,165.1900,166.6600,166.6600,213503,0.0000,1.0000
2020-01-08,165.2500,167.3500,164.9700,166.6100,166.6100,305014,0.0000,1.0000
2020-01-07,165.1500,165.6300,163.6350,164.7900,164.7900,438201,0.0000,1.0000
2020-01-06,166.3600,166.4500,164.8690,165.8600,165.8600,407639,0.0000,1.0000
2020-01-03,166.0900,167.3700,165.2400,167.0900,167.0900,362477,0.0000,1.0000
2020-01-02,170.4000,170.8539,168.0232,169.0000,169.0000,467911,0.0000,1.0000
2019-12-31,168.4300,169.7500,168.4300,169.4000,169.4000,198904,0.0000,1.0000
2019-12-30,169.4900,169.6000,167.8700,168.8400,168.8400,176525,0.0000,1.0000
2019-12-27,170.0500,170.5048,168.9200,169.2000,169.2000,117540,0.0000,1.0000
2019-12-26,169.5100,169.8200,167.5400,169.7800,169.7800,174996,0.0000,1.0000
2019-12-24,169.6300,169.6300,168.7100,168.9200,168.9200,54973,0.0000,1.0000
2019-12-23,170.3600,170.3600,169.0800,169.8200,169.8200,206160,0.0000,1.0000
2019-12-20,168.8900,170.1300,167.6500,169.6800,169.6800,537509,0.0000,1.0000
2019-12-19,171.4100,171.4100,167.1800,167.7500,167.7500,563190,0.0000,1.0000
2019-12-18,171.9400,172.3200,171.0462,171.6200,171.6200,451565,0.0000,1.0000
2019-12-17,171.1800,172.6100,170.4000,171.8500,171.8500,435476,0.0000,1.0000
2019-12-16,172.0000,172.4300,170.2750,171.1400,171.1400,342854,0.0000,1.0000
2019-12-13,170.4600,171.5800,168.6482,170.3800,170.3800,648150,0.0000,1.0000
2019-12-12,167.4600,170.8000,166.8700,170.4200,170.4200,387307,0.0000,1.0000
2019-12-11,166.1700,168.0500,165.7500,167.6800,167.6800,308149,0.0000,1.0000
2019-12-10,165.5300,166.6100,164.1600,165.1600,165.1600,525268,0.0000,1.0000
2019-12-09,164.5200,165.8100,163.8750,165.7400,165.7400,340064,0.0000,1.0000
2019-12-06,163.4000,165.0200,162.2800,164.9700,164.9700,362640,0.0000,1.0000
2019-12-05,159.8700,162.2655,159.7700,162.1900,162.1900,440387,0.0000,1.0000
2019-12-04,157.0400,159.9850,157.0400,159.1700,159.1700,550479,0.0000,1.0000
2019-12-03,155.9900,156.7200,154.5600,156.5700,156.5700,421598,0.0000,1.0000
2019-12-02,160.9900,161.4500,157.7800,157.8300,157.8300,329646,0.0000,1.0000
2019-11-29,161.7900,161.9100,160.1400,160.4600,160.4600,129022,0.0000,1.0000
2019-11-27,162.4300,162.9200,161.5300,162.3800,162.3800,266484,0.0000,1.0000
2019-11-26,163.0300,163.2280,161.8300,162.9000,162.9000,314722,0.0000,1.0000
2019-11-25,159.5900,163.5200,159.0800,162.4600,162.4600,1695466,0.0000,1.0000
2019-11-22,158.4700,159.3690,157.6700,158.8900,158.8900,319418,0.0000,1.0000
2019-11-21,158.6100,159.7700,157.8068,157.9800,157.9800,309729,0.0000,1.0000
2019-11-20,161.0000,161.4500,158.6200,158.6900,158.6900,425491,0.0000,1.0000
2019-11-19,161.9500,161.9500,160.4468,161.4100,161.4100,282770,1.0800,1.0000
2019-11-18,163.0200,164.0000,161.5900,162.0500,160.9729,340552,0.0000,1.0000
2019-11-15,164.8400,165.4200,163.2200,163.6700,162.5822,305705,0.0000,1.0000
2019-11-14,164.0900,165.2500,162.9250,164.5400,163.4464,477987,0.0000,1.0000
2019-11-13,167.4800,168.5600,164.2800,164.3100,163.2179,319476,0.0000,1.0000
2019-11-12,168.4800,169.4800,167.2900,168.9400,167.8171,280077,0.0000,1.0000
2019-11-11,165.5000,167.9700,165.5000,167.9500,166.8337,167396,0.0000,1.0000
2019-11-08,166.9700,167.9800,165.5000,166.9400,165.8304,497886,0.0000,1.0000
2019-11-07,168.0000,168.4200,166.4852,166.9700,165.8602,324521,0.0000,1.0000
2019-11-06,167.4400,167.4400,165.0800,166.8100,165.7013,624753,0.0000,1.0000
2019-11-05,168.1500,168.8700,166.4900,168.0700,166.9529,448929,0.0000,1.0000
2019-11-04,168.4300,168.9300,167.0900,168.5100,167.3900,730129,0.0000,1.0000
2019-11-01,164.2900,166.8700,163.0400,166.8700,165.7609,331835,0.0000,1.0000
2019-10-31,164.1400,164.8900,161.8450,162.6700,161.5888,371462,0.0000,1.0000
2019-10-30,165.3400,165.3400,163.0100,164.8700,163.7742,298780,0.0000,1.0000
2019-10-29,165.2100,167.2000,164.9000,165.7000,164.5987,319828,0.0000,1.0000
2019-10-28,167.4800,168.0000,165.9750,166.3300,165.2245,247612,0.0000,1.0000
2019-10-25,165.5000,167.4900,165.5000,166.6400,165.5324,327771,0.0000,1.0000
2019-10-24,165.6200,166.0700,163.8500,165.5500,164.4497,449448,0.0000,1.0000
2019-10-23,162.4300,165.0800,162.0100,164.9300,163.8338,397831,0.0000,1.0000
2019-10-22,159.5000,163.5000,158.6900,162.6400,161.5590,355855,0.0000,1.0000
2019-10-21,158.7400,161.0000,158.7400,159.3600,158.3008,483780,0.0000,1.0000
2019-10-18,154.8100,158.0050,154.4700,157.5200,156.4730,490816,0.0000,1.0000
