Date,Open,High,Low,Close,Adj Close,Volume
2015-01-19,4.135210,4.175550,4.121090,4.167490,3.212501,6433214
2015-01-20,4.163450,4.193710,4.117060,4.171520,3.215608,7092766
2015-01-21,4.165470,4.173540,4.108990,4.165470,3.210944,15671236
2015-01-22,4.165470,4.318770,4.165470,4.312720,3.324451,20274769
2015-01-23,4.312720,4.336930,4.238090,4.326840,3.335336,12929256
2015-01-26,4.322810,4.381310,4.284480,4.381310,3.377323,9611239
2015-01-27,4.363150,4.413580,4.334910,4.397440,3.389757,10917240
2015-01-28,4.417620,4.421650,4.314740,4.387360,3.381987,10707992
2015-01-29,4.361140,4.415600,4.336930,4.413580,3.402199,7051988
2015-01-30,4.423670,4.429720,4.342980,4.373240,3.371103,11753612
2015-02-02,4.395430,4.419630,4.318770,4.367190,3.366439,8556876
2015-02-03,4.367190,4.411560,4.349030,4.363150,3.363325,12278386
2015-02-04,4.353070,4.367190,4.270360,4.270360,3.291798,14031037
2015-02-05,4.272380,4.276410,4.203800,4.215900,3.249817,12519340
2015-02-06,4.215900,4.244140,4.203800,4.211860,3.246704,7472856
2015-02-09,4.189680,4.211860,4.060580,4.084780,3.148744,14647767
2015-02-10,4.082760,4.169500,4.060580,4.161430,3.207830,10573237
2015-02-11,4.334910,4.340960,4.264310,4.284480,3.302682,31781802
2015-02-12,4.280450,4.316760,4.258260,4.288520,3.305796,13640840
2015-02-13,4.298600,4.306670,4.270360,4.292550,3.308903,6573764
2015-02-16,4.282470,4.292550,4.264310,4.284480,3.302682,6562368
2015-02-17,4.246160,4.280450,4.228000,4.254220,3.279357,10212116
2015-02-18,4.286500,4.324830,4.244140,4.322810,3.332229,16707899
2015-02-19,4.316760,4.340960,4.300620,4.332890,3.339999,9957739
2015-02-20,4.302640,4.411560,4.302640,4.411560,3.400642,21215830
2015-02-23,4.429720,4.435770,4.381310,4.417620,3.405313,14431398
2015-02-24,4.421650,4.508390,4.397440,4.504350,3.472169,14955922
2015-02-25,4.486200,4.522510,4.466030,4.502340,3.470619,16007080
2015-02-26,4.496290,4.528560,4.486200,4.528560,3.490832,9601160
2015-02-27,4.512420,4.578990,4.502340,4.560840,3.515714,17228605
2015-03-02,4.570920,4.605210,4.536630,4.562850,3.517264,9360857
2015-03-03,4.570920,4.574960,4.474100,4.488220,3.459735,10985708
2015-03-04,4.508390,4.542680,4.500320,4.542680,3.501715,8723400
2015-03-05,4.558820,4.657660,4.528560,4.655640,3.588790,11897235
2015-03-06,4.657660,4.657660,4.542680,4.552770,3.509494,12486068
2015-03-09,4.538650,4.589080,4.498300,4.581010,3.531262,12411450
2015-03-10,4.593110,4.603200,4.478130,4.500320,3.469062,13373564
2015-03-11,4.492250,4.599160,4.482170,4.570920,3.523484,10761407
2015-03-12,4.629420,4.637490,4.562850,4.574960,3.526598,10383216
2015-03-13,4.601180,4.615300,4.427700,4.534610,3.495494,15341528
2015-03-16,4.542680,4.558820,4.514440,4.556800,3.512600,11679438
2015-03-17,4.554780,4.564870,4.510410,4.562850,3.517264,8700560
2015-03-18,4.544700,4.548730,4.476110,4.518470,3.483053,15866233
2015-03-19,4.526540,4.552770,4.453930,4.488220,3.459735,19870287
2015-03-20,4.524530,4.635470,4.488220,4.635470,3.573242,29338247
2015-03-23,4.625390,4.627400,4.566890,4.611260,3.554580,9585815
2015-03-24,4.589080,4.639510,4.589080,4.611260,3.554580,7216108
2015-03-25,4.583020,4.601180,4.564870,4.595130,3.542146,6087395
2015-03-26,4.568900,4.576970,4.502340,4.526540,3.489274,11259219
2015-03-27,4.548730,4.591090,4.528560,4.589080,3.537483,7151200
2015-03-30,4.597140,4.629420,4.583020,4.615300,3.557695,8884054
2015-03-31,4.623370,4.637490,4.548730,4.558820,3.514157,12150933
2015-04-01,4.560840,4.649590,4.538650,4.639510,3.576357,11159985
2015-04-02,4.639510,4.667750,4.605210,4.607230,3.551474,9218251
2015-04-07,4.657660,4.706070,4.637490,4.698000,3.621444,12512813
2015-04-08,4.704060,4.704060,4.659680,4.693970,3.618337,9858130
2015-04-09,4.720190,4.762550,4.687920,4.762550,3.671202,10206009
2015-04-10,4.770620,4.804910,4.728260,4.794830,3.696084,12590870
2015-04-13,4.798860,4.863410,4.794830,4.863410,3.748949,13007025
2015-04-14,4.841220,4.855340,4.800880,4.812980,3.710076,11934863
2015-04-15,4.804910,4.827100,4.770620,4.806930,3.705411,12770229
2015-04-16,4.790790,4.839210,4.762550,4.780710,3.685200,12353823
2015-04-17,4.790790,4.855340,4.770620,4.774660,3.680537,24807373
2015-04-20,4.798860,4.821050,4.772640,4.792810,3.694528,12242420
2015-04-21,4.812980,4.839210,4.744400,4.817020,3.713190,11104218
2015-04-22,4.815000,4.835170,4.736330,4.754480,3.664981,10851403
2015-04-23,4.768600,4.786760,4.700020,4.722210,3.640106,12364893
2015-04-24,4.760540,4.833150,4.722210,4.831140,3.724074,12813631
2015-04-27,4.859380,4.901740,4.798860,4.901740,3.778496,10984463
2015-04-28,4.883580,4.913840,4.835170,4.841220,3.731845,10368560
2015-04-29,4.855340,4.873500,4.728260,4.728260,3.644769,11834782
2015-04-30,4.710110,4.742380,4.657660,4.695990,3.619895,20351450
2015-05-04,4.691950,4.754480,4.651610,4.742380,3.655653,8219468
2015-05-05,4.710110,4.778690,4.593110,4.593110,3.540590,19065903
2015-05-06,4.603200,4.641520,4.589080,4.613280,3.556137,14581590
2015-05-07,4.605210,4.633450,4.560840,4.607230,3.551474,17926373
2015-05-08,4.643540,4.776670,4.629420,4.776670,3.682086,18969895
2015-05-11,4.760540,4.772640,4.720190,4.732300,3.647883,9622329
2015-05-12,4.714140,4.746420,4.645560,4.736330,3.650990,33520745
2015-05-13,4.768600,4.776670,4.687920,4.704060,3.626115,18086918
2015-05-14,4.829120,4.829120,4.740360,4.790790,3.692971,39686297
2015-05-15,4.823070,4.845260,4.798860,4.841220,3.731845,18822484
2015-05-18,4.637490,4.649590,4.544700,4.587060,3.728463,20977082
2015-05-19,4.645560,4.653630,4.585040,4.627400,3.761252,17131848
2015-05-20,4.627400,4.627400,4.548730,4.552770,3.700592,16237913
2015-05-21,4.512420,4.558820,4.470060,4.554780,3.702225,26514990
2015-05-22,4.542680,4.591090,4.542680,4.585040,3.726821,7446024
2015-05-25,4.599160,4.599160,4.506370,4.506370,3.662877,4371875
2015-05-26,4.518470,4.526540,4.453930,4.468050,3.631729,9705701
2015-05-27,4.468050,4.578990,4.447870,4.578990,3.721903,15557739
2015-05-28,4.550750,4.576970,4.522510,4.538650,3.689114,19495855
2015-05-29,4.556800,4.568900,4.516460,4.542680,3.692389,11449080
2015-06-01,4.542680,4.552770,4.486200,4.486200,3.646482,13207341
2015-06-02,4.518470,4.534610,4.437790,4.496290,3.654683,12657218
2015-06-03,4.490230,4.524530,4.474100,4.482170,3.643206,6764107
