timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,32.6500,33.1200,32.5500,32.9400,32.9400,1142580,0.0000,1.0000
2020-01-22,33.0400,33.2100,32.5150,32.6200,32.6200,1670168,0.0000,1.0000
2020-01-21,32.4600,32.9650,32.4500,32.9600,32.9600,1814150,0.0000,1.0000
2020-01-17,32.3900,32.5950,32.2950,32.4600,32.4600,947307,0.0000,1.0000
2020-01-16,32.0800,32.5700,32.0600,32.3300,32.3300,1597608,0.0000,1.0000
2020-01-15,31.5800,32.3600,31.5100,32.0200,32.0200,2269974,0.0000,1.0000
2020-01-14,31.7000,31.7000,31.3500,31.5000,31.5000,4791249,0.0000,1.0000
2020-01-13,31.7400,32.0200,31.6200,32.0200,32.0200,500806,0.0000,1.0000
2020-01-10,31.5100,31.8500,31.4000,31.7200,31.7200,823596,0.0000,1.0000
2020-01-09,31.4500,31.7200,31.3200,31.5000,31.5000,668130,0.0000,1.0000
2020-01-08,31.4500,31.5700,31.0900,31.4900,31.4900,1107418,0.0000,1.0000
2020-01-07,31.5200,31.5200,31.1700,31.4300,31.4300,916323,0.0000,1.0000
2020-01-06,31.5000,31.8900,31.3458,31.6000,31.6000,827452,0.0000,1.0000
2020-01-03,31.0200,31.6700,31.0000,31.6200,31.6200,620045,0.0000,1.0000
2020-01-02,31.7400,31.7800,30.9500,31.2200,31.2200,528899,0.0000,1.0000
2019-12-31,31.2800,31.5800,31.2550,31.5700,31.5700,950740,0.0000,1.0000
2019-12-30,31.1900,31.2400,31.0111,31.1600,31.1600,632774,0.1192,1.0000
2019-12-27,31.2400,31.3350,31.1100,31.3200,31.2007,365464,0.0000,1.0000
2019-12-26,31.0300,31.2097,30.9285,31.0600,30.9417,425546,0.0000,1.0000
2019-12-24,30.9500,30.9900,30.8400,30.9500,30.8321,163940,0.0000,1.0000
2019-12-23,31.4500,31.5000,30.9450,30.9500,30.8321,2090293,0.0000,1.0000
2019-12-20,31.1500,31.5700,31.1000,31.4000,31.2804,4618928,0.0000,1.0000
2019-12-19,30.6500,31.2000,30.6450,31.2000,31.0811,3863701,0.0000,1.0000
2019-12-18,30.6000,30.9600,30.5000,30.7100,30.5930,3035036,0.0000,1.0000
2019-12-17,30.5900,30.6500,30.2600,30.3500,30.2344,2545127,0.0000,1.0000
2019-12-16,30.5200,30.6100,30.3500,30.5400,30.4236,2883719,0.0000,1.0000
2019-12-13,30.3800,30.5500,30.0100,30.3300,30.2144,1047202,0.0000,1.0000
2019-12-12,30.8700,31.1500,30.3500,30.3900,30.2742,653863,0.0000,1.0000
2019-12-11,31.4200,31.4200,30.8050,30.8500,30.7325,690517,0.0000,1.0000
2019-12-10,31.2500,31.4500,31.1400,31.3100,31.1907,658527,0.0000,1.0000
2019-12-09,30.9000,31.0400,30.7500,30.9600,30.8420,1002971,0.0000,1.0000
2019-12-06,30.9500,31.1600,30.8750,30.9000,30.7823,1766417,0.0000,1.0000
2019-12-05,30.8400,31.0000,30.7300,30.8200,30.7026,1284709,0.0000,1.0000
2019-12-04,30.9300,31.1800,30.7900,30.8100,30.6926,931244,0.0000,1.0000
2019-12-03,30.7300,31.0000,30.6800,30.9500,30.8321,832413,0.0000,1.0000
2019-12-02,30.9600,31.0200,30.6600,30.8200,30.7026,1043723,0.0000,1.0000
2019-11-29,31.1500,31.3600,30.9500,30.9900,30.8719,393302,0.0000,1.0000
2019-11-27,30.8000,31.2200,30.6400,31.2200,31.1011,740963,0.1192,1.0000
2019-11-26,30.8400,31.1900,30.7600,30.9300,30.6950,974632,0.0000,1.0000
2019-11-25,30.5200,30.8400,30.4900,30.8300,30.5958,1334711,0.0000,1.0000
2019-11-22,30.5500,30.5700,30.2350,30.4300,30.1988,913193,0.0000,1.0000
2019-11-21,30.9900,31.0200,30.3900,30.4700,30.2385,1205045,0.0000,1.0000
2019-11-20,31.3000,31.4200,30.9300,31.0700,30.8339,1336855,0.0000,1.0000
2019-11-19,31.1800,31.3600,31.0400,31.2900,31.0523,484248,0.0000,1.0000
2019-11-18,30.9900,31.1900,30.9900,31.0800,30.8439,439456,0.0000,1.0000
2019-11-15,30.8900,31.1650,30.8100,30.9900,30.7545,794290,0.0000,1.0000
2019-11-14,30.6300,30.9800,30.6000,30.8200,30.5858,603562,0.0000,1.0000
2019-11-13,30.2300,30.6700,30.1700,30.6300,30.3973,726266,0.0000,1.0000
2019-11-12,30.1900,30.4900,30.0800,30.2700,30.0400,665555,0.0000,1.0000
2019-11-11,30.0100,30.2150,29.9200,30.1400,29.9110,563353,0.0000,1.0000
2019-11-08,29.9600,30.1100,29.8813,30.0200,29.7919,729383,0.0000,1.0000
2019-11-07,30.1300,30.2200,29.9300,30.0000,29.7721,716772,0.0000,1.0000
2019-11-06,30.1600,30.2900,30.0100,30.1900,29.9606,1044199,0.0000,1.0000
2019-11-05,30.7800,30.8300,30.0150,30.0700,29.8415,991032,0.0000,1.0000
2019-11-04,30.9000,31.0000,30.7600,30.8600,30.6255,943220,0.0000,1.0000
2019-11-01,31.1000,31.2500,30.6650,30.8900,30.6553,1117321,0.0000,1.0000
2019-10-31,31.0000,31.2500,30.7500,31.0400,30.8042,941824,0.0000,1.0000
2019-10-30,30.9000,31.0000,30.6300,31.0000,30.7645,799425,0.1192,1.0000
2019-10-29,30.9300,31.1450,30.8500,30.9600,30.6071,979524,0.0000,1.0000
2019-10-28,30.6800,31.0100,30.6800,30.9200,30.5676,842402,0.0000,1.0000
2019-10-25,30.8700,30.8800,30.5900,30.6500,30.3006,634842,0.0000,1.0000
2019-10-24,30.9100,30.9400,30.7300,30.8700,30.5181,740458,0.0000,1.0000
2019-10-23,30.8100,30.9000,30.5200,30.8400,30.4885,670708,0.0000,1.0000
2019-10-22,30.8500,30.9200,30.7100,30.7500,30.3995,560752,0.0000,1.0000
2019-10-21,30.7300,30.8500,30.6600,30.8300,30.4786,559721,0.0000,1.0000
2019-10-18,30.3400,30.6400,30.2800,30.6200,30.2710,538224,0.0000,1.0000
2019-10-17,30.3200,30.5300,30.2850,30.3800,30.0337,1269271,0.0000,1.0000
2019-10-16,30.1800,30.3400,30.0300,30.2900,29.9448,1532079,0.0000,1.0000
2019-10-15,30.2000,30.3900,30.0200,30.2000,29.8558,1098482,0.0000,1.0000
2019-10-14,30.2500,30.2700,30.1100,30.2000,29.8558,1066227,0.0000,1.0000
2019-10-11,30.2600,30.4200,30.1000,30.2400,29.8953,1256030,0.0000,1.0000
2019-10-10,30.1600,30.2800,29.9900,30.1100,29.7668,1436616,0.0000,1.0000
2019-10-09,30.3300,30.4200,30.0700,30.1500,29.8063,734833,0.0000,1.0000
2019-10-08,29.9400,30.3350,29.7450,30.1400,29.7965,1394622,0.0000,1.0000
2019-10-07,30.0700,30.3900,30.0500,30.1000,29.7569,1031488,0.0000,1.0000
2019-10-04,29.8500,30.2350,29.8450,30.2100,29.8657,1210123,0.0000,1.0000
2019-10-03,29.5700,30.0000,29.4200,29.7800,29.4406,817609,0.0000,1.0000
2019-10-02,29.4400,29.6500,29.3200,29.5800,29.2428,1674904,0.0000,1.0000
2019-10-01,29.5000,29.5500,29.0600,29.4600,29.1242,936515,0.0000,1.0000
2019-09-30,29.3700,29.6500,29.3500,29.4800,29.1440,1642552,0.0000,1.0000
2019-09-27,29.9700,30.0000,29.2100,29.3500,29.0155,1531253,0.1192,1.0000
2019-09-26,29.5000,30.0250,29.3500,29.8800,29.4200,1981339,0.0000,1.0000
2019-09-25,28.8600,29.3900,28.7500,29.2600,28.8095,6752837,0.0000,1.0000
2019-09-24,30.2800,30.3600,29.5700,29.7000,29.2427,984054,0.0000,1.0000
2019-09-23,29.9500,30.3800,29.8400,30.2000,29.7350,544640,0.0000,1.0000
2019-09-20,30.0200,30.3100,29.9100,29.9600,29.4987,975193,0.0000,1.0000
2019-09-19,29.8400,30.1900,29.8400,30.0200,29.5578,645563,0.0000,1.0000
2019-09-18,29.8700,29.9900,29.4000,29.7500,29.2920,1006073,0.0000,1.0000
2019-09-17,29.7700,29.9500,29.5100,29.7400,29.2821,756128,0.0000,1.0000
2019-09-16,29.6100,29.9800,29.5700,29.7700,29.3117,670294,0.0000,1.0000
2019-09-13,29.5700,29.9400,29.5200,29.6900,29.2329,642914,0.0000,1.0000
2019-09-12,29.8700,29.9100,29.4900,29.5000,29.0458,668415,0.0000,1.0000
2019-09-11,29.0200,29.6800,28.9400,29.6200,29.1640,987057,0.0000,1.0000
2019-09-10,28.8100,29.0100,28.5600,29.0100,28.5634,717256,0.0000,1.0000
2019-09-09,29.0600,29.1100,28.8100,28.8900,28.4452,406613,0.0000,1.0000
2019-09-06,29.1500,29.2200,29.0200,29.0900,28.6421,491626,0.0000,1.0000
2019-09-05,29.3700,29.4500,29.0300,29.0700,28.6224,971155,0.0000,1.0000
2019-09-04,29.3700,29.5300,29.1800,29.3200,28.8686,839068,0.0000,1.0000
2019-09-03,28.9300,29.2900,28.9300,29.1700,28.7209,810941,0.0000,1.0000
2019-08-30,29.2300,29.2400,28.9500,29.0800,28.6323,709115,0.0000,1.0000
2019-08-29,28.7600,29.2300,28.7400,29.1600,28.7111,652546,0.1192,1.0000
2019-08-28,28.2900,28.7150,28.2100,28.6800,28.1235,792168,0.0000,1.0000
2019-08-27,28.6200,28.7192,28.2000,28.3200,27.7705,1548869,0.0000,1.0000
2019-08-26,28.2900,28.5000,28.1800,28.4800,27.9274,494784,0.0000,1.0000
2019-08-23,29.0300,29.2200,28.0169,28.0500,27.5057,1170990,0.0000,1.0000
2019-08-22,29.1300,29.3036,28.8600,29.1200,28.5550,711712,0.0000,1.0000
2019-08-21,29.2600,29.2650,29.0400,29.1000,28.5354,730939,0.0000,1.0000
2019-08-20,29.4700,29.5100,29.0500,29.1300,28.5648,615671,0.0000,1.0000
2019-08-19,29.6700,29.6700,29.4800,29.4900,28.9178,516015,0.0000,1.0000
2019-08-16,29.1700,29.5300,29.0900,29.4500,28.8786,1034011,0.0000,1.0000
2019-08-15,28.8200,29.1500,28.7600,29.0800,28.5158,1219657,0.0000,1.0000
2019-08-14,29.0300,29.2698,28.7700,28.8200,28.2608,612175,0.0000,1.0000
2019-08-13,29.1600,29.4700,29.0400,29.3300,28.7609,809291,0.0000,1.0000
2019-08-12,29.4600,29.5600,29.0700,29.1500,28.5844,429400,0.0000,1.0000
2019-08-09,29.6600,29.7600,29.3200,29.5700,28.9962,538191,0.0000,1.0000
2019-08-08,29.1800,29.7400,28.9200,29.6900,29.1139,767834,0.0000,1.0000
2019-08-07,28.7100,29.4200,28.3750,29.1200,28.5550,1626663,0.0000,1.0000
2019-08-06,28.6400,29.1000,28.6201,28.7400,28.1824,1100484,0.0000,1.0000
2019-08-05,28.8400,28.8800,28.1000,28.6200,28.0647,1128922,0.0000,1.0000
2019-08-02,29.4000,29.4800,28.9300,29.0800,28.5158,1249190,0.0000,1.0000
2019-08-01,29.7200,29.8000,29.3400,29.4000,28.8295,1261771,0.0000,1.0000
2019-07-31,30.2500,30.5700,29.7100,29.7200,29.1433,1684268,0.0000,1.0000
2019-07-30,30.1300,30.4900,30.1300,30.3300,29.7415,792617,0.1192,1.0000
2019-07-29,30.4000,30.5350,30.2000,30.3300,29.6251,891788,0.0000,1.0000
2019-07-26,30.0200,30.3800,29.9600,30.3100,29.6056,1088677,0.0000,1.0000
