timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,152.4300,152.4300,151.3200,151.8100,151.8100,390415,0.0000,1.0000
2020-01-22,154.4500,155.0000,152.7700,152.7900,152.7900,369759,0.0000,1.0000
2020-01-21,153.9600,154.7500,152.8900,153.8100,153.8100,521172,0.0000,1.0000
2020-01-17,154.2300,154.4000,153.0100,154.1300,154.1300,628132,0.0000,1.0000
2020-01-16,153.0500,154.1700,152.6800,154.1300,154.1300,399311,0.0000,1.0000
2020-01-15,152.3400,153.7700,152.1500,152.5700,152.5700,550284,0.0000,1.0000
2020-01-14,151.0500,152.5000,150.2900,152.4100,152.4100,519460,0.0000,1.0000
2020-01-13,150.8800,151.8200,150.3300,151.5400,151.5400,522668,0.0000,1.0000
2020-01-10,152.3900,152.5276,150.5100,151.0100,151.0100,431968,0.0000,1.0000
2020-01-09,151.5500,153.1600,151.3000,151.7800,151.7800,644102,0.0000,1.0000
2020-01-08,151.6000,152.0100,150.4200,150.9500,150.9500,839032,0.0000,1.0000
2020-01-07,150.7100,151.7050,150.6100,151.0400,151.0400,438917,0.0000,1.0000
2020-01-06,150.5000,152.1293,150.2300,151.6200,151.6200,581889,0.0000,1.0000
2020-01-03,149.4300,151.5000,149.2000,150.6300,150.6300,638011,0.0000,1.0000
2020-01-02,152.5800,153.2100,150.5300,151.7000,151.7000,641196,0.0000,1.0000
2019-12-31,151.9100,152.5600,151.2600,152.4200,152.4200,330170,0.0000,1.0000
2019-12-30,152.1200,152.9400,151.4200,151.9400,151.9400,600516,0.0000,1.0000
2019-12-27,151.9600,152.3800,150.4900,151.8100,151.8100,433373,0.0000,1.0000
2019-12-26,152.1800,152.8400,150.6000,151.3500,151.3500,649298,0.0000,1.0000
2019-12-24,151.6100,152.0800,150.9200,152.0300,152.0300,137672,0.0000,1.0000
2019-12-23,150.1000,152.8600,149.6000,151.4800,151.4800,786322,0.0000,1.0000
2019-12-20,149.4500,151.9200,148.5200,149.8400,149.8400,14865932,0.0000,1.0000
2019-12-19,149.3100,149.7100,147.2400,148.3900,148.3900,1200200,0.0000,1.0000
2019-12-18,152.0800,152.4000,148.3850,149.2600,149.2600,753913,0.0000,1.0000
2019-12-17,150.6100,151.8969,149.3800,151.5200,151.5200,758877,0.0000,1.0000
2019-12-16,152.2900,152.8500,149.5800,150.7500,150.7500,1253520,0.0000,1.0000
2019-12-13,153.1200,153.9800,151.5300,151.9300,151.9300,503156,0.0000,1.0000
2019-12-12,154.1800,154.4025,152.3000,153.6600,153.6600,410363,0.0000,1.0000
2019-12-11,154.3200,155.0000,153.1950,153.6800,153.6800,439147,0.0000,1.0000
2019-12-10,152.9400,154.0200,151.7800,153.9400,153.9400,304053,0.0000,1.0000
2019-12-09,153.6700,154.1300,152.3450,152.5400,152.5400,279339,0.0000,1.0000
2019-12-06,154.0000,155.0700,153.6700,154.3000,154.3000,343608,0.0000,1.0000
2019-12-05,153.6200,153.9300,152.5900,152.9500,152.9500,338680,0.0000,1.0000
2019-12-04,152.5100,154.2988,152.5100,154.0700,154.0700,473358,0.0000,1.0000
2019-12-03,149.7400,152.3950,149.4500,152.0800,152.0800,407140,0.0000,1.0000
2019-12-02,151.9900,151.9900,149.3400,150.2400,150.2400,308064,0.0000,1.0000
2019-11-29,152.4500,153.0600,151.1400,151.1400,151.1400,237220,0.0000,1.0000
2019-11-27,152.2400,153.1400,151.4700,152.6800,152.6800,260229,0.0000,1.0000
2019-11-26,151.3400,153.3000,150.9400,151.7400,151.7400,446032,0.0000,1.0000
2019-11-25,151.9000,152.4600,151.1400,151.5000,151.5000,285941,0.3700,1.0000
2019-11-22,151.8000,152.0600,150.2900,151.8900,151.5200,493971,0.0000,1.0000
2019-11-21,152.3600,152.5560,150.1500,150.8300,150.4625,329734,0.0000,1.0000
2019-11-20,151.9500,153.5078,151.3100,151.8700,151.5000,635660,0.0000,1.0000
2019-11-19,150.2100,152.1600,149.6600,151.8900,151.5200,385651,0.0000,1.0000
2019-11-18,148.8600,149.8050,148.4700,149.3800,149.0161,398050,0.0000,1.0000
2019-11-15,147.4300,148.8300,146.7750,148.7500,148.3876,320665,0.0000,1.0000
2019-11-14,145.7300,146.8150,145.1400,146.7400,146.3825,296116,0.0000,1.0000
2019-11-13,145.3000,146.7600,144.9900,145.6100,145.2553,266812,0.0000,1.0000
2019-11-12,145.1800,146.4000,144.7600,145.6000,145.2453,277302,0.0000,1.0000
2019-11-11,145.0800,146.8100,144.1100,144.6900,144.3375,379514,0.0000,1.0000
2019-11-08,145.1400,146.7900,144.7400,145.8400,145.4847,282672,0.0000,1.0000
2019-11-07,146.5000,147.4900,144.4700,145.1900,144.8363,488346,0.0000,1.0000
2019-11-06,145.5000,146.5500,144.1800,145.4900,145.1355,499310,0.0000,1.0000
2019-11-05,146.0000,148.1100,143.0800,145.4800,145.1256,879091,0.0000,1.0000
2019-11-04,143.0300,143.4700,139.4300,140.5300,140.1876,418003,0.0000,1.0000
2019-11-01,142.6100,143.8700,141.5500,142.1400,141.7937,315695,0.0000,1.0000
2019-10-31,142.1300,143.4300,140.7700,141.5700,141.2251,367405,0.0000,1.0000
2019-10-30,141.7800,143.0150,140.0700,142.6800,142.3324,384481,0.0000,1.0000
2019-10-29,139.1000,142.1500,139.0500,141.4500,141.1054,247352,0.0000,1.0000
2019-10-28,138.4100,140.2000,138.4100,139.4600,139.1202,304145,0.0000,1.0000
2019-10-25,137.5500,139.3850,137.0200,138.0100,137.6738,332698,0.0000,1.0000
2019-10-24,138.4200,139.2700,136.9300,137.3900,137.0553,356541,0.0000,1.0000
2019-10-23,137.6100,138.2500,136.9600,137.8500,137.5142,468568,0.0000,1.0000
2019-10-22,141.0500,141.7100,136.3700,136.9200,136.5864,739655,0.0000,1.0000
2019-10-21,144.0000,144.0000,140.3700,140.5500,140.2076,486671,0.0000,1.0000
2019-10-18,142.7100,143.9600,142.6100,143.3700,143.0207,901161,0.0000,1.0000
2019-10-17,143.0700,143.9700,142.2600,143.1500,142.8012,532081,0.0000,1.0000
2019-10-16,142.7500,143.3100,141.6100,142.4000,142.0531,498507,0.0000,1.0000
2019-10-15,141.4900,143.1850,140.8506,143.1000,142.7514,448452,0.0000,1.0000
2019-10-14,141.1800,141.9538,139.5700,140.0800,139.7387,171509,0.0000,1.0000
2019-10-11,141.1200,141.8600,140.5000,140.6800,140.3373,331553,0.0000,1.0000
2019-10-10,138.8300,140.2400,138.7900,139.7000,139.3596,422212,0.0000,1.0000
2019-10-09,139.1800,140.6200,138.9700,139.4400,139.1003,305543,0.0000,1.0000
2019-10-08,140.8500,140.8500,137.9200,138.0400,137.7037,253720,0.0000,1.0000
