timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,82.8600,83.8000,82.7454,83.5900,83.5900,1811562,0.0000,1.0000
2020-01-22,83.6200,84.1200,83.0800,83.1400,83.1400,2359716,0.0000,1.0000
2020-01-21,82.5400,83.4700,82.5000,83.2300,83.2300,2821362,0.0000,1.0000
2020-01-17,83.1500,83.8800,82.5100,82.8200,82.8200,4796891,0.0000,1.0000
2020-01-16,83.2800,83.4500,82.5200,82.6600,82.6600,2423250,0.0000,1.0000
2020-01-15,82.8600,83.3600,82.2500,82.6500,82.6500,2806774,0.0000,1.0000
2020-01-14,83.0400,83.4100,82.1900,82.4000,82.4000,2797708,0.0000,1.0000
2020-01-13,84.9000,85.0181,83.2800,83.7200,83.7200,3467322,0.0000,1.0000
2020-01-10,84.7400,85.0900,84.7100,84.9200,84.9200,1593639,0.0000,1.0000
2020-01-09,84.7400,85.1300,84.4400,84.6300,84.6300,1914825,0.0000,1.0000
2020-01-08,83.8900,84.9600,83.6150,84.5300,84.5300,2945859,0.0000,1.0000
2020-01-07,84.2400,84.3500,83.4000,83.5600,83.5600,1701730,0.0000,1.0000
2020-01-06,84.1500,84.2500,83.5000,84.2400,84.2400,1915031,0.0000,1.0000
2020-01-03,84.2000,84.7234,83.9300,84.3500,84.3500,1759888,0.0000,1.0000
2020-01-02,85.0600,85.1300,83.9800,84.6600,84.6600,2121926,0.4500,1.0000
2019-12-31,85.5900,85.7900,84.8468,85.5400,85.0877,1530571,0.0000,1.0000
2019-12-30,85.6200,85.9800,85.3600,85.8000,85.3464,979866,0.0000,1.0000
2019-12-27,85.8900,85.9437,85.5450,85.7400,85.2867,1192237,0.0000,1.0000
2019-12-26,85.3900,85.6547,85.2300,85.5400,85.0877,1045435,0.0000,1.0000
2019-12-24,85.2500,85.5200,84.9700,85.3800,84.9286,424892,0.0000,1.0000
2019-12-23,85.5200,85.6500,85.1600,85.3000,84.8490,1460568,0.0000,1.0000
2019-12-20,84.9800,85.4600,84.4900,85.4400,84.9883,3299061,0.0000,1.0000
2019-12-19,84.0700,84.6400,83.7100,84.4900,84.0433,2031375,0.0000,1.0000
2019-12-18,84.3500,84.6600,83.9400,84.0700,83.6255,3406704,0.0000,1.0000
2019-12-17,84.3100,84.5700,84.1000,84.1400,83.6951,2221376,0.0000,1.0000
2019-12-16,83.8100,84.3100,83.3800,84.2300,83.7847,1429281,0.0000,1.0000
2019-12-13,82.8300,83.6000,82.6600,83.5400,83.0983,1808864,0.0000,1.0000
2019-12-12,83.3000,83.7700,82.8900,83.2700,82.8297,1543797,0.0000,1.0000
2019-12-11,82.4800,82.9100,82.1300,82.8800,82.4418,1506811,0.0000,1.0000
2019-12-10,83.1300,83.3800,82.5000,82.5300,82.0936,1852377,0.0000,1.0000
2019-12-09,82.5700,83.2299,82.4800,83.1300,82.6905,1466581,0.0000,1.0000
2019-12-06,83.3800,83.4300,82.6500,82.7700,82.3324,1656795,0.0000,1.0000
2019-12-05,82.0800,82.9900,81.8900,82.9700,82.5313,2577607,0.0000,1.0000
2019-12-04,81.1100,82.0000,80.7413,81.9900,81.5565,2266102,0.0000,1.0000
2019-12-03,80.4600,81.3400,80.2400,81.3000,80.8701,2816844,0.0000,1.0000
2019-12-02,80.4900,80.8400,79.8600,80.8200,80.3927,1807493,0.0000,1.0000
2019-11-29,81.1500,81.4600,80.4700,80.5500,80.1241,825201,0.0000,1.0000
2019-11-27,80.7000,81.2200,80.5500,81.0600,80.6314,1239739,0.0000,1.0000
2019-11-26,80.1200,80.7000,79.7500,80.6500,80.2236,2716443,0.0000,1.0000
2019-11-25,78.7300,79.9400,78.6500,79.8200,79.3980,2170173,0.0000,1.0000
2019-11-22,79.3100,79.3750,78.6300,79.0600,78.6420,1152332,0.0000,1.0000
2019-11-21,79.4500,79.8100,79.0000,79.2200,78.8011,2451063,0.0000,1.0000
2019-11-20,80.2700,80.6200,79.5280,79.8200,79.3980,2126509,0.0000,1.0000
2019-11-19,81.0000,81.4111,80.1900,80.2900,79.8655,2684669,0.0000,1.0000
2019-11-18,80.1200,81.0400,79.6400,80.7000,80.2733,3514298,0.0000,1.0000
2019-11-15,81.8500,81.9000,81.1400,81.6100,81.1785,3907144,0.0000,1.0000
2019-11-14,81.4800,81.7000,80.9200,81.5000,81.0691,1868304,0.0000,1.0000
2019-11-13,80.1300,81.3100,80.1300,81.2200,80.7906,1906409,0.0000,1.0000
2019-11-12,80.4100,80.6000,79.7700,80.3000,79.8754,1314767,0.0000,1.0000
2019-11-11,80.2500,80.5600,79.8350,80.1500,79.7262,1436807,0.0000,1.0000
2019-11-08,80.8000,80.9100,80.1350,80.4000,79.9749,1753041,0.0000,1.0000
2019-11-07,80.8900,81.3000,80.6900,80.9000,80.4723,1820987,0.0000,1.0000
2019-11-06,79.6500,81.2200,79.6500,81.0600,80.6314,2130699,0.0000,1.0000
2019-11-05,80.8400,81.2400,79.8800,80.0800,79.6566,2765274,0.0000,1.0000
2019-11-04,80.8600,81.2800,78.4700,80.8100,80.3827,3423320,0.0000,1.0000
2019-11-01,80.0000,81.6000,79.9400,81.2800,80.8503,3589906,0.0000,1.0000
2019-10-31,79.6900,79.9000,79.2300,79.8700,79.4477,3394126,0.0000,1.0000
2019-10-30,79.2400,79.6700,78.9100,79.6500,79.2289,1351594,0.0000,1.0000
2019-10-29,78.8000,79.3700,78.3850,79.1100,78.6917,2023486,0.0000,1.0000
2019-10-28,79.1900,79.4700,78.6000,78.8600,78.4430,1666271,0.0000,1.0000
2019-10-25,79.1500,79.6100,79.0300,79.1700,78.7514,1675717,0.0000,1.0000
2019-10-24,78.8400,79.1350,78.3400,78.9500,78.5326,2895984,0.0000,1.0000
2019-10-23,79.1500,79.5600,78.7300,78.8400,78.4232,1529063,0.0000,1.0000
2019-10-22,79.6000,79.7000,78.9300,79.0000,78.5823,1645442,0.0000,1.0000
2019-10-21,79.1400,79.6100,78.9600,79.4600,79.0399,1426140,0.0000,1.0000
2019-10-18,79.1900,79.6000,78.9800,79.1400,78.7216,1495056,0.0000,1.0000
2019-10-17,79.0400,79.4300,78.8100,79.2100,78.7912,1919360,0.0000,1.0000
2019-10-16,78.9500,79.5400,78.7500,78.9100,78.4928,3410744,0.0000,1.0000
2019-10-15,79.5000,79.5000,78.8207,79.0800,78.6619,1722215,0.0000,1.0000
2019-10-14,79.0800,79.3300,78.7400,78.9900,78.5724,3740747,0.0000,1.0000
