timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,38.1600,38.5400,37.9350,38.3700,38.3700,86282,0.0000,1.0000
2020-01-22,38.7300,38.7800,38.2800,38.3600,38.3600,37542,0.0000,1.0000
2020-01-21,38.9000,39.1300,38.6764,38.7300,38.7300,44417,0.0000,1.0000
2020-01-17,39.4800,39.4800,39.0000,39.1900,39.1900,75641,0.0000,1.0000
2020-01-16,39.0000,39.3100,38.9000,39.1700,39.1700,105025,0.0000,1.0000
2020-01-15,39.3800,39.3900,38.7700,38.9500,38.9500,60016,0.0000,1.0000
2020-01-14,39.6200,39.9100,39.4800,39.5600,39.5600,107613,0.0000,1.0000
2020-01-13,39.6000,39.8500,39.5200,39.7600,39.7600,49539,0.0000,1.0000
2020-01-10,39.6700,39.8350,39.5000,39.5900,39.5900,52341,0.0000,1.0000
2020-01-09,40.1300,40.3200,39.7700,39.7800,39.7800,39973,0.0000,1.0000
2020-01-08,39.6900,40.1800,39.6700,40.0300,40.0300,76908,0.0000,1.0000
2020-01-07,39.9200,40.0300,39.4450,39.7400,39.7400,36346,0.0000,1.0000
2020-01-06,39.8300,40.1900,39.5400,40.0400,40.0400,47874,0.0000,1.0000
2020-01-03,40.1700,40.3350,39.4200,40.1600,40.1600,66533,0.0000,1.0000
2020-01-02,40.9700,40.9700,40.0900,40.6200,40.6200,52923,0.0000,1.0000
2019-12-31,40.8400,41.0324,40.6400,40.8100,40.8100,43229,0.0000,1.0000
2019-12-30,40.9300,41.2000,40.6900,40.8400,40.8400,58369,0.0000,1.0000
2019-12-27,41.0100,41.0100,40.6100,40.7800,40.7800,41138,0.0000,1.0000
2019-12-26,41.0800,41.0800,40.7300,41.0300,41.0300,43214,0.0000,1.0000
2019-12-24,41.0400,41.0500,40.5900,41.0200,41.0200,70028,0.0000,1.0000
2019-12-23,41.1500,41.1500,40.6200,41.0200,41.0200,43145,0.0000,1.0000
2019-12-20,41.4200,41.4200,40.8900,41.2500,41.2500,224837,0.0000,1.0000
2019-12-19,40.9600,41.2200,40.7300,41.2200,41.2200,51790,0.0000,1.0000
2019-12-18,41.1400,41.2400,40.7600,41.1100,41.1100,64754,0.0000,1.0000
