timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,13.7605,13.7605,13.3600,13.4200,13.4200,10517,0.0000,1.0000
2020-01-22,14.1500,14.1500,13.5658,13.5700,13.5700,7745,0.0000,1.0000
2020-01-21,14.5000,14.5000,14.0807,14.1500,14.1500,8218,0.0000,1.0000
2020-01-17,14.5000,14.5000,14.3468,14.3500,14.3500,3732,0.0000,1.0000
2020-01-16,14.5000,14.5000,14.3500,14.3500,14.3500,2019,0.0000,1.0000
2020-01-15,14.2000,14.3900,14.2000,14.3300,14.3300,1958,0.0000,1.0000
2020-01-14,14.1548,14.2200,14.0600,14.0600,14.0600,439,0.0000,1.0000
2020-01-13,14.2000,14.2000,14.2000,14.2000,14.2000,665,0.0000,1.0000
2020-01-10,14.5000,14.5000,14.0100,14.4200,14.4200,2116,0.0000,1.0000
2020-01-09,14.0800,14.1475,14.0012,14.0100,14.0100,2515,0.0000,1.0000
2020-01-08,14.5463,14.5463,14.0800,14.0800,14.0800,6749,0.0000,1.0000
2020-01-07,14.5258,14.5636,14.4300,14.4550,14.4550,2124,0.0000,1.0000
2020-01-06,14.5100,14.7801,14.4200,14.5000,14.5000,2024,0.0000,1.0000
2020-01-03,14.7600,14.7600,14.3800,14.4000,14.4000,2535,0.0000,1.0000
2020-01-02,14.3900,14.7500,14.3000,14.7500,14.7500,10887,0.0000,1.0000
2019-12-31,15.4999,15.4999,14.3000,14.3000,14.3000,2821,0.0000,1.0000
2019-12-30,14.7100,15.5600,14.6421,15.3000,15.3000,16664,0.0000,1.0000
2019-12-27,14.5700,14.9200,14.5549,14.6800,14.6800,10915,0.0000,1.0000
2019-12-26,14.5100,14.5510,14.4900,14.5200,14.5200,6602,0.0000,1.0000
2019-12-24,14.1100,14.5348,14.1100,14.4850,14.4850,8679,0.0000,1.0000
2019-12-23,13.7000,14.2500,13.7000,13.9900,13.9900,15267,0.0000,1.0000
2019-12-20,13.4900,13.8900,13.4500,13.8900,13.8900,13667,0.0000,1.0000
2019-12-19,13.2300,13.3788,13.1950,13.3000,13.3000,4045,0.0000,1.0000
2019-12-18,13.1133,13.2500,13.1133,13.1729,13.1729,2690,0.0000,1.0000
2019-12-17,13.4000,13.4000,12.9863,13.1100,13.1100,4820,0.0000,1.0000
2019-12-16,13.1500,13.3000,13.1500,13.2000,13.2000,2764,0.0000,1.0000
2019-12-13,13.2422,13.2494,13.1800,13.1902,13.1902,3719,0.0000,1.0000
2019-12-12,13.3400,13.3400,13.2400,13.2600,13.2600,1373,0.0000,1.0000
2019-12-11,13.2500,13.2500,13.2500,13.2500,13.2500,211,0.0000,1.0000
2019-12-10,13.2000,13.2600,13.2000,13.2500,13.2500,1880,0.0000,1.0000
2019-12-09,13.4400,13.4400,13.0102,13.3200,13.3200,5023,0.1400,1.0000
2019-12-06,13.2300,13.5000,13.1225,13.3000,13.1617,7321,0.0000,1.0000
2019-12-05,13.0000,13.2300,12.9641,13.0000,12.8648,8397,0.0000,1.0000
2019-12-04,13.0000,13.0000,12.9000,12.9000,12.7658,12359,0.0000,1.0000
2019-12-03,13.0000,13.0000,12.9000,12.9350,12.8005,6932,0.0000,1.0000
2019-12-02,12.8000,13.0000,12.7600,12.9550,12.8203,9110,0.0000,1.0000
2019-11-29,12.7457,12.7457,12.7457,12.7457,12.6131,352,0.0000,1.0000
2019-11-27,12.6780,12.6780,12.6780,12.6780,12.5461,69,0.0000,1.0000
2019-11-26,12.7000,12.7600,12.6400,12.6780,12.5461,3615,0.0000,1.0000
2019-11-25,12.5400,12.7180,12.4876,12.7000,12.5679,5389,0.0000,1.0000
2019-11-22,12.4700,12.4892,12.3900,12.4700,12.3403,5417,0.0000,1.0000
2019-11-21,12.4500,12.5400,12.3600,12.4797,12.3499,1704,0.0000,1.0000
2019-11-20,12.5500,12.5500,12.1700,12.1700,12.0434,5131,0.0000,1.0000
2019-11-19,12.4500,12.5500,12.4500,12.4500,12.3205,2295,0.0000,1.0000
2019-11-18,12.5500,12.5500,12.4750,12.5500,12.4195,4039,0.0000,1.0000
2019-11-15,12.5500,12.5500,12.3501,12.3501,12.2216,1468,0.0000,1.0000
2019-11-14,12.2900,12.4339,12.2900,12.4096,12.2805,4897,0.0000,1.0000
