timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,122.4700,124.9600,122.3950,124.8550,124.8550,16090,0.0000,1.0000
2020-01-22,123.2100,124.3200,121.5600,122.5400,122.5400,39224,0.0000,1.0000
2020-01-21,120.6000,123.2100,120.6000,123.1400,123.1400,41111,0.0000,1.0000
2020-01-17,121.2700,121.3000,119.5400,120.8600,120.8600,39646,0.0000,1.0000
2020-01-16,119.3800,121.8950,119.2100,120.9300,120.9300,34428,0.0000,1.0000
2020-01-15,116.8600,118.9100,116.8600,118.9100,118.9100,63824,0.0000,1.0000
2020-01-14,116.3900,116.7900,114.8800,116.7800,116.7800,69355,0.0000,1.0000
2020-01-13,114.8000,116.8600,114.3725,116.3600,116.3600,67994,0.0000,1.0000
2020-01-10,114.8300,115.3300,113.5600,114.5100,114.5100,66219,0.0000,1.0000
2020-01-09,115.0500,116.0000,114.5400,114.7800,114.7800,29007,0.0000,1.0000
2020-01-08,114.1200,115.0500,113.5060,114.8400,114.8400,53541,0.0000,1.0000
2020-01-07,114.8100,115.0000,112.7729,113.8500,113.8500,40952,0.0000,1.0000
2020-01-06,115.1900,116.3700,114.4800,114.9900,114.9900,50103,0.0000,1.0000
2020-01-03,113.6200,116.9750,113.6200,115.7200,115.7200,56593,0.0000,1.0000
2020-01-02,117.9900,117.9900,112.7100,114.5300,114.5300,62860,0.0000,1.0000
2019-12-31,115.1500,117.8750,114.6800,117.3600,117.3600,82909,0.0000,1.0000
2019-12-30,115.1600,115.6500,113.9800,115.4400,115.4400,74887,0.0000,1.0000
2019-12-27,114.6400,115.5800,114.5200,115.2600,115.2600,28616,0.0000,1.0000
2019-12-26,114.7200,115.2247,114.1000,114.5800,114.5800,22941,0.0000,1.0000
2019-12-24,114.7300,115.0980,114.0550,114.4500,114.4500,8092,0.0000,1.0000
2019-12-23,117.8800,117.8800,114.4057,114.7500,114.7500,47639,0.0000,1.0000
2019-12-20,115.6400,118.6300,115.4300,117.7500,117.7500,233397,0.0000,1.0000
