timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,183.5000,187.6800,180.9300,187.1900,187.1900,4950536,0.0000,1.0000
2020-01-22,183.2700,183.4080,180.4400,180.9300,180.9300,2989746,0.0000,1.0000
2020-01-21,184.1600,184.5300,181.1200,182.4600,182.4600,3440929,0.0000,1.0000
2020-01-17,183.6800,185.6500,183.0000,185.3200,185.3200,4007757,0.0000,1.0000
2020-01-16,181.5600,184.1700,180.9100,183.9000,183.9000,3227407,0.0000,1.0000
2020-01-15,181.6300,182.4200,180.6300,180.8000,180.8000,3450725,0.0000,1.0000
2020-01-14,180.5000,182.7300,180.1500,180.8000,180.8000,2805888,0.0000,1.0000
2020-01-13,177.9900,179.9900,177.6400,179.9000,179.9000,2035198,0.0000,1.0000
2020-01-10,179.1000,179.9300,177.8200,177.9400,177.9400,2944337,0.0000,1.0000
2020-01-09,180.5100,180.8300,178.5700,179.1000,179.1000,3311081,0.0000,1.0000
2020-01-08,177.8900,181.0500,177.4800,180.0200,180.0200,2817514,0.0000,1.0000
2020-01-07,179.2300,179.5800,177.6100,178.0700,178.0700,4099722,0.0000,1.0000
2020-01-06,179.7000,180.0800,177.9350,179.4300,179.4300,3140861,0.0000,1.0000
2020-01-03,179.5400,181.1900,178.2900,180.9800,180.9800,2344175,0.0000,1.0000
2020-01-02,180.9500,182.3800,179.9700,182.2700,182.2700,2444774,0.0000,1.0000
2019-12-31,179.9600,181.2600,179.5400,180.7900,180.7900,1588754,0.0000,1.0000
2019-12-30,181.1500,181.3800,179.6000,180.1500,180.1500,1493040,0.0000,1.0000
2019-12-27,181.0000,181.5900,180.6600,181.4100,181.4100,1363023,0.0000,1.0000
2019-12-26,180.3600,180.9200,179.5000,180.8100,180.8100,1171702,0.0000,1.0000
2019-12-24,179.7600,180.4750,179.3580,179.8900,179.8900,666016,0.0000,1.0000
2019-12-23,180.4000,180.6800,179.0000,179.4200,179.4200,1888045,0.0000,1.0000
2019-12-20,178.8100,180.5600,176.7200,180.4000,180.4000,6140074,0.0000,1.0000
2019-12-19,177.8500,179.2025,177.0300,177.4700,177.4700,2479216,0.0000,1.0000
2019-12-18,177.7500,179.3000,176.5400,178.2200,178.2200,3785988,0.0000,1.0000
2019-12-17,179.7400,180.6568,177.0700,177.3900,177.3900,3516465,0.0000,1.0000
2019-12-16,178.2900,180.8400,178.0200,180.0900,180.0900,3625635,0.0000,1.0000
2019-12-13,175.8300,177.5300,174.1600,177.0300,177.0300,2842405,0.0000,1.0000
2019-12-12,174.0900,176.3200,173.1700,175.2200,175.2200,3377703,0.0000,1.0000
2019-12-11,172.7800,174.6800,172.0100,174.4500,174.4500,2010376,0.0000,1.0000
2019-12-10,170.8300,172.5000,170.1300,171.8500,171.8500,1811612,0.0000,1.0000
2019-12-09,171.2900,172.5800,170.5200,171.3600,171.3600,2078937,0.0000,1.0000
2019-12-06,172.3100,174.1250,171.7850,172.0000,172.0000,2123929,0.0000,1.0000
2019-12-05,171.6100,171.8900,169.3600,170.4900,170.4900,2647600,0.0000,1.0000
2019-12-04,169.1700,172.8900,168.9500,171.4600,171.4600,3623012,0.0000,1.0000
2019-12-03,170.9000,171.0700,167.1500,168.0000,168.0000,4273094,0.0000,1.0000
2019-12-02,175.8600,176.5700,172.7900,173.0000,173.0000,2099671,0.0000,1.0000
2019-11-29,176.5500,176.9900,175.4400,175.9900,175.9900,975642,0.0000,1.0000
2019-11-27,177.4800,177.8000,175.9300,177.1900,177.1900,2113485,0.9700,1.0000
2019-11-26,179.2600,179.9500,178.0600,178.0900,177.1204,2953890,0.0000,1.0000
2019-11-25,176.1800,179.9900,175.6700,179.9000,178.9205,2655869,0.0000,1.0000
2019-11-22,174.6800,175.9900,173.8000,175.9400,174.9821,1934984,0.0000,1.0000
2019-11-21,173.8400,174.8300,172.3000,174.1700,173.2217,1704053,0.0000,1.0000
2019-11-20,176.6600,177.7050,173.7800,174.0900,173.1422,2915101,0.0000,1.0000
2019-11-19,176.0700,177.2900,175.4350,177.1700,176.2054,3593968,0.0000,1.0000
2019-11-18,175.8200,176.4700,174.5714,176.2500,175.2904,2930130,0.0000,1.0000
2019-11-15,175.1800,177.1000,174.7700,176.2700,175.3103,2160266,0.0000,1.0000
2019-11-14,175.5400,176.2000,174.0900,174.7700,173.8185,2151997,0.0000,1.0000
