timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,22.0400,22.0400,21.6200,21.6600,21.6600,8828,0.0000,1.0000
2020-01-22,21.5400,22.0500,21.5400,22.0500,22.0500,2967,0.0000,1.0000
2020-01-21,21.4600,22.0500,21.4600,21.6200,21.6200,5804,0.0000,1.0000
2020-01-17,21.7500,21.7600,21.2200,21.3500,21.3500,9769,0.0000,1.0000
2020-01-16,21.8600,22.0300,21.5100,21.5100,21.5100,4256,0.0000,1.0000
2020-01-15,21.7300,21.9500,21.3200,21.6700,21.6700,7370,0.0000,1.0000
2020-01-14,21.5250,22.1600,21.5250,21.5800,21.5800,9751,0.0000,1.0000
2020-01-13,21.9300,22.2050,21.4300,21.7500,21.7500,8781,0.0000,1.0000
2020-01-10,21.6800,23.1900,21.6800,21.7000,21.7000,8094,0.0000,1.0000
2020-01-09,21.8200,22.3544,21.5402,21.9100,21.9100,8411,0.0000,1.0000
2020-01-08,21.7100,22.1400,21.7000,21.9000,21.9000,2344,0.0000,1.0000
2020-01-07,21.6530,21.9000,21.4400,21.7000,21.7000,10312,0.0000,1.0000
2020-01-06,21.7600,21.7600,21.2464,21.5200,21.5200,10715,0.0000,1.0000
2020-01-03,22.5000,22.9000,21.8500,22.0000,22.0000,6746,0.0000,1.0000
2020-01-02,22.7800,23.0600,22.1400,22.3100,22.3100,12146,0.0000,1.0000
2019-12-31,22.1900,22.7900,22.1400,22.5700,22.5700,10474,0.0000,1.0000
2019-12-30,22.4900,22.7350,22.2500,22.3600,22.3600,4286,0.0000,1.0000
2019-12-27,22.6900,22.7400,22.3900,22.6700,22.6700,7975,0.0000,1.0000
2019-12-26,22.3700,22.5400,22.0900,22.5200,22.5200,11576,0.0000,1.0000
2019-12-24,22.8300,22.8300,22.3000,22.5400,22.5400,5942,0.0000,1.0000
2019-12-23,22.9021,22.9400,22.5000,22.6300,22.6300,7257,0.0000,1.0000
2019-12-20,23.2500,23.2500,22.5100,22.9100,22.9100,33091,0.0000,1.0000
2019-12-19,23.9500,23.9500,23.0700,23.2500,23.2500,58756,0.0000,1.0000
2019-12-18,23.6200,24.1500,23.2100,23.9900,23.9900,15172,0.0000,1.0000
2019-12-17,23.9000,24.0000,23.4000,23.5600,23.5600,10869,0.0000,1.0000
2019-12-16,23.8900,24.0000,23.5300,23.8200,23.8200,34900,0.0000,1.0000
2019-12-13,23.0200,23.8500,22.2000,23.6200,23.6200,16843,0.0000,1.0000
2019-12-12,23.1100,23.5600,22.8610,23.2500,23.2500,9626,0.0800,1.0000
2019-12-11,22.9000,23.2900,22.8650,23.2900,23.2101,25869,0.0000,1.0000
2019-12-10,22.3900,22.9500,21.8000,22.9500,22.8713,8070,0.0000,1.0000
2019-12-09,22.1500,22.9800,22.1000,22.5100,22.4328,10596,0.0000,1.0000
2019-12-06,22.3600,22.7000,21.7500,21.7600,21.6854,10673,0.0000,1.0000
2019-12-05,22.3000,22.3650,22.1770,22.2500,22.1737,8495,0.0000,1.0000
2019-12-04,22.1000,22.4600,21.8400,22.3300,22.2534,3462,0.0000,1.0000
2019-12-03,21.1652,21.9200,21.1652,21.8900,21.8149,4227,0.0000,1.0000
2019-12-02,22.0500,22.0500,21.4000,22.0000,21.9246,9149,0.0000,1.0000
2019-11-29,21.0697,22.1500,21.0697,22.1500,22.0740,3002,0.0000,1.0000
2019-11-27,22.3300,22.4999,22.2800,22.3300,22.2534,5889,0.0000,1.0000
2019-11-26,22.3900,22.6400,22.3900,22.5900,22.5125,5028,0.0000,1.0000
2019-11-25,22.0700,22.8700,22.0700,22.7200,22.6421,11754,0.0000,1.0000
2019-11-22,22.1950,22.2000,22.0300,22.0300,21.9545,1561,0.0000,1.0000
2019-11-21,22.1000,22.1401,22.0300,22.0500,21.9744,7610,0.0000,1.0000
2019-11-20,21.9500,22.2000,21.6400,21.9700,21.8947,13781,0.0000,1.0000
2019-11-19,21.5000,22.3000,21.5000,21.8800,21.8050,12645,0.0000,1.0000
2019-11-18,22.0800,22.3301,21.9250,22.1500,22.0740,11367,0.0000,1.0000
2019-11-15,22.0500,22.3800,22.0500,22.1600,22.0840,10892,0.0000,1.0000
2019-11-14,21.8500,22.1000,21.8500,21.9500,21.8747,224170,0.0000,1.0000
2019-11-13,21.9500,22.0500,21.8500,21.8500,21.7751,47634,0.0000,1.0000
2019-11-12,21.7050,22.0500,21.7050,21.9800,21.9046,10929,0.0000,1.0000
2019-11-11,21.8000,21.9300,21.5353,21.8200,21.7452,8295,0.0000,1.0000
2019-11-08,21.8001,22.0500,21.8000,21.8000,21.7252,2576,0.0000,1.0000
2019-11-07,21.3500,22.0300,21.3000,21.9100,21.8349,4098,0.0000,1.0000
2019-11-06,22.2000,22.2000,22.0400,22.0700,21.9943,3873,0.0000,1.0000
2019-11-05,22.0950,22.2000,21.9000,22.1000,22.0242,8368,0.0000,1.0000
