timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-05,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000
2019-02-26,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-20,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-15,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-14,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-13,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-12,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-11,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-08,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-07,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-06,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-05,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-04,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-02-01,72.3800,72.3800,72.3800,72.3800,72.3800,0,0.0000,1.0000
2019-01-31,72.3800,72.4000,72.3500,72.3800,72.3800,13231320,0.0000,1.0000
2019-01-30,72.0300,72.3850,72.0300,72.3700,72.3700,2016625,0.0000,1.0000
2019-01-29,71.9400,72.1500,71.9200,72.1500,72.1500,499277,0.0000,1.0000
2019-01-28,72.0500,72.0900,71.9000,71.9400,71.9400,676234,0.0000,1.0000
2019-01-25,72.1400,72.1800,72.0000,72.0100,72.0100,626379,0.0000,1.0000
2019-01-24,72.0800,72.1800,72.0000,72.1400,72.1400,850641,0.0000,1.0000
2019-01-23,72.0100,72.1200,72.0100,72.0700,72.0700,785249,0.0000,1.0000
2019-01-22,72.1500,72.3100,71.9000,72.0800,72.0800,1289964,0.0000,1.0000
2019-01-18,72.2500,72.3400,71.8900,72.1300,72.1300,1507160,0.0000,1.0000
2019-01-17,72.0900,72.3100,72.0900,72.2900,72.2900,1378748,0.0000,1.0000
2019-01-16,72.0500,72.2000,72.0300,72.1900,72.1900,990295,0.0000,1.0000
2019-01-15,71.9800,72.1000,71.9700,72.1000,72.1000,709114,0.0000,1.0000
2019-01-14,71.8800,72.0000,71.8500,72.0000,72.0000,1313819,0.0000,1.0000
2019-01-11,71.7700,71.9300,71.7700,71.9100,71.9100,865311,0.0000,1.0000
2019-01-10,71.7800,71.8300,71.7600,71.8200,71.8200,1033730,0.0000,1.0000
2019-01-09,71.8000,71.8311,71.7500,71.8100,71.8100,798393,0.0000,1.0000
2019-01-08,71.8000,71.8900,71.7800,71.7800,71.7800,727003,0.0000,1.0000
