timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,28.6600,29.0300,28.2900,28.7100,28.7100,39148,0.0000,1.0000
2020-01-22,29.0200,29.0899,28.6300,28.6900,28.6900,19387,0.0000,1.0000
2020-01-21,29.2000,29.5000,28.7600,28.8200,28.8200,21295,0.0000,1.0000
2020-01-17,29.9700,29.9700,29.1700,29.2500,29.2500,17964,0.0000,1.0000
2020-01-16,29.6000,30.0400,29.6000,29.8000,29.8000,15653,0.0000,1.0000
2020-01-15,28.8000,29.5800,28.7400,29.4000,29.4000,32938,0.0000,1.0000
2020-01-14,29.3300,29.3800,28.7000,28.7500,28.7500,42181,0.0000,1.0000
2020-01-13,29.0900,29.6700,29.0800,29.3700,29.3700,45288,0.0000,1.0000
2020-01-10,29.2700,29.6000,29.0100,29.0100,29.0100,34152,0.0000,1.0000
2020-01-09,29.2000,29.5300,28.9800,29.2200,29.2200,26799,0.0000,1.0000
2020-01-08,29.0500,29.3800,28.8700,29.1300,29.1300,23858,0.0000,1.0000
2020-01-07,29.3000,29.5100,29.0300,29.0700,29.0700,16651,0.0000,1.0000
2020-01-06,28.7300,29.5400,28.5140,29.3300,29.3300,27937,0.0000,1.0000
2020-01-03,28.6400,29.2300,28.5500,28.9200,28.9200,41423,0.0000,1.0000
2020-01-02,29.8100,29.8208,28.6075,29.0000,29.0000,63133,0.0000,1.0000
2019-12-31,29.5600,29.8950,29.2800,29.6200,29.6200,34790,0.0000,1.0000
2019-12-30,29.6800,29.7600,29.1700,29.6400,29.6400,38660,0.0000,1.0000
2019-12-27,30.0300,30.0300,29.4500,29.6300,29.6300,28822,0.0000,1.0000
2019-12-26,30.3900,30.5900,29.7600,29.9300,29.9300,38492,0.0000,1.0000
2019-12-24,30.6900,30.8300,30.3100,30.5100,30.5100,13697,0.0000,1.0000
2019-12-23,31.3500,31.4000,30.3700,30.6200,30.6200,62015,0.0000,1.0000
2019-12-20,30.2800,31.6800,30.0500,31.2300,31.2300,160100,0.0000,1.0000
2019-12-19,30.2900,30.4642,30.0500,30.1400,30.1400,50909,0.0000,1.0000
2019-12-18,30.3400,30.5900,30.0900,30.3900,30.3900,26917,0.0000,1.0000
2019-12-17,30.0400,30.2900,29.8750,30.1800,30.1800,24125,0.0000,1.0000
2019-12-16,30.5400,30.9200,29.9100,30.0600,30.0600,28173,0.0000,1.0000
