timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,145.8800,151.2900,144.3200,150.7200,150.7200,908151,0.0000,1.0000
2020-01-22,151.3900,151.8900,146.4300,146.6900,146.6900,1226301,0.0000,1.0000
2020-01-21,151.6300,152.9300,149.9200,151.4000,151.4000,968206,0.0000,1.0000
2020-01-17,154.6300,155.4500,152.0600,152.6300,152.6300,784462,0.0000,1.0000
2020-01-16,155.2300,156.0100,152.7300,154.1600,154.1600,833733,0.0000,1.0000
2020-01-15,152.5700,156.6400,152.2400,153.9300,153.9300,1012419,0.0000,1.0000
2020-01-14,152.7800,154.3700,152.0000,153.2300,153.2300,726903,0.0000,1.0000
2020-01-13,150.1900,152.8200,149.6900,152.7800,152.7800,1087084,0.0000,1.0000
2020-01-10,150.2900,150.8200,147.7600,149.6800,149.6800,839655,0.0000,1.0000
2020-01-09,150.7000,150.7600,148.1600,150.3600,150.3600,721361,0.0000,1.0000
2020-01-08,147.1700,150.2400,147.1700,149.4000,149.4000,540095,0.0000,1.0000
2020-01-07,147.2500,148.9800,146.6050,147.3400,147.3400,786453,0.0000,1.0000
2020-01-06,144.6600,147.7500,143.4100,147.2900,147.2900,559732,0.0000,1.0000
2020-01-03,146.6500,146.6500,145.0000,145.9200,145.9200,521110,0.0000,1.0000
2020-01-02,148.9400,149.4500,145.8300,148.4500,148.4500,806208,0.0000,1.0000
2019-12-31,146.4400,148.1600,145.5500,147.5300,147.5300,415712,0.0000,1.0000
2019-12-30,146.2700,147.1400,145.0600,146.2200,146.2200,451200,0.0000,1.0000
2019-12-27,145.1000,146.1000,144.6900,145.9200,145.9200,353735,0.0000,1.0000
2019-12-26,145.2500,145.7550,144.1100,145.1900,145.1900,232734,0.0000,1.0000
2019-12-24,145.4100,145.8600,144.3200,145.1800,145.1800,190935,0.0000,1.0000
2019-12-23,148.5000,148.9200,144.9100,145.4800,145.4800,444544,0.0000,1.0000
2019-12-20,144.2900,147.6100,143.4300,147.4100,147.4100,1450493,0.0000,1.0000
