timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,203.1200,206.6900,202.5900,206.6600,206.6600,766366,0.0000,1.0000
2020-01-22,204.6200,206.0900,203.5100,203.7500,203.7500,367341,0.0000,1.0000
2020-01-21,204.8600,206.1200,204.4900,205.0300,205.0300,632379,0.0000,1.0000
2020-01-17,205.4900,206.0300,204.0400,204.9900,204.9900,822728,0.0000,1.0000
2020-01-16,205.0000,206.0100,203.9300,204.1900,204.1900,610659,0.0000,1.0000
2020-01-15,203.5200,205.3250,203.1700,204.0700,204.0700,573783,0.0000,1.0000
2020-01-14,204.8700,205.8200,203.8500,204.0000,204.0000,528003,0.0000,1.0000
2020-01-13,205.2500,206.0400,204.4900,205.0000,205.0000,427643,0.0000,1.0000
2020-01-10,205.7500,206.5600,204.5500,205.0000,205.0000,673789,0.0000,1.0000
2020-01-09,204.4600,206.1400,204.4600,205.0000,205.0000,914073,0.0000,1.0000
2020-01-08,204.8500,206.1300,203.7300,204.3900,204.3900,486444,0.0000,1.0000
2020-01-07,204.6500,204.8000,203.7100,204.1600,204.1600,443280,0.0000,1.0000
2020-01-06,204.0300,204.5800,201.8750,204.5800,204.5800,620609,0.0000,1.0000
2020-01-03,202.0300,204.9700,201.7300,204.3300,204.3300,411388,0.0000,1.0000
2020-01-02,202.8700,204.2800,201.3400,204.2800,204.2800,465836,0.0000,1.0000
2019-12-31,200.9200,202.7300,200.9200,201.9400,201.9400,323678,0.0000,1.0000
2019-12-30,201.4900,201.6600,200.0600,201.5800,201.5800,226771,0.6500,1.0000
2019-12-27,201.6000,202.5400,201.4800,201.7600,201.1115,261103,0.0000,1.0000
2019-12-26,202.2200,204.4800,201.1900,202.0200,201.3707,222724,0.0000,1.0000
2019-12-24,201.4400,202.0100,200.5700,201.9900,201.3408,103376,0.0000,1.0000
2019-12-23,205.6400,206.2300,201.3700,201.5800,200.9321,622163,0.0000,1.0000
2019-12-20,204.7000,206.2900,203.7500,205.6400,204.9790,1309577,0.0000,1.0000
2019-12-19,202.0100,203.9400,200.8500,203.8500,203.1948,528365,0.0000,1.0000
2019-12-18,201.0200,202.0700,200.5300,201.7100,201.0617,653048,0.0000,1.0000
2019-12-17,201.7200,202.4200,200.6000,201.2300,200.5832,388829,0.0000,1.0000
2019-12-16,200.8900,201.9450,199.7000,201.1700,200.5234,551032,0.0000,1.0000
2019-12-13,197.7100,200.2900,196.7700,200.0400,199.3970,641055,0.0000,1.0000
2019-12-12,194.2700,198.5800,194.2100,198.4200,197.7822,696928,0.0000,1.0000
2019-12-11,194.7100,195.1784,193.7700,194.4100,193.7851,370962,0.0000,1.0000
2019-12-10,195.6300,196.4100,194.2650,194.5900,193.9646,410176,0.0000,1.0000
2019-12-09,195.3000,195.7600,194.3100,194.7900,194.1639,480711,0.0000,1.0000
2019-12-06,195.1800,196.1300,194.6801,195.3900,194.7620,409312,0.0000,1.0000
2019-12-05,193.2300,194.0900,192.4800,193.9200,193.2967,379507,0.0000,1.0000
2019-12-04,192.3200,194.3200,190.4200,193.2800,192.6588,689666,0.0000,1.0000
2019-12-03,194.1600,194.9600,191.9500,192.5200,191.9012,926669,0.0000,1.0000
2019-12-02,196.8000,196.8000,194.8400,195.2200,194.5925,505049,0.0000,1.0000
2019-11-29,195.4900,197.3800,195.4900,196.4400,195.8086,344477,0.0000,1.0000
2019-11-27,195.5500,196.6650,194.1800,196.3500,195.7189,361370,0.0000,1.0000
2019-11-26,189.1500,195.1600,189.1500,194.8200,194.1938,1043952,0.0000,1.0000
2019-11-25,190.3500,193.3700,188.6100,193.1300,192.5092,1090444,0.0000,1.0000
2019-11-22,190.2800,190.3700,188.6475,189.7600,189.1501,409872,0.0000,1.0000
2019-11-21,190.0400,190.5600,188.9500,189.9300,189.3195,507512,0.0000,1.0000
2019-11-20,189.0700,191.1400,188.0400,190.1500,189.5388,475020,0.0000,1.0000
2019-11-19,188.4200,190.2400,188.4200,190.2000,189.5887,542456,0.0000,1.0000
2019-11-18,188.9800,189.2500,187.3600,187.8500,187.2462,466945,0.0000,1.0000
2019-11-15,190.7000,190.7000,188.0800,188.9500,188.3427,567704,0.0000,1.0000
2019-11-14,187.0300,190.1200,186.2900,189.7500,189.1401,637936,0.0000,1.0000
2019-11-13,186.8200,188.2900,185.4500,187.6200,187.0170,426577,0.0000,1.0000
2019-11-12,186.8900,187.5100,185.7800,187.2200,186.6182,501254,0.0000,1.0000
2019-11-11,183.9900,186.9200,183.2100,186.5800,185.9803,368909,0.0000,1.0000
2019-11-08,185.0400,185.7900,183.6600,185.1000,184.5051,474491,0.0000,1.0000
2019-11-07,187.0600,188.2300,184.7400,184.9900,184.3954,491733,0.0000,1.0000
2019-11-06,185.5200,187.0600,185.0000,186.6700,186.0700,677994,0.0000,1.0000
2019-11-05,186.5900,187.7900,183.7900,185.0100,184.4153,562096,0.0000,1.0000
2019-11-04,189.8800,190.0000,185.7000,186.8300,186.2295,501324,0.0000,1.0000
2019-11-01,187.3400,190.2500,186.7500,188.9900,188.3826,676647,0.0000,1.0000
2019-10-31,185.7200,190.8100,182.7700,186.9000,186.2993,1411155,0.0000,1.0000
2019-10-30,185.7900,190.2500,185.4650,190.2400,189.6285,656150,0.0000,1.0000
2019-10-29,182.6500,186.3800,182.6500,185.6500,185.0533,666275,0.0000,1.0000
2019-10-28,185.8800,185.8800,183.0500,183.3800,182.7906,537336,0.0000,1.0000
2019-10-25,187.2300,188.6000,184.3200,184.9800,184.3854,490704,0.0000,1.0000
2019-10-24,185.3500,187.4900,183.2720,187.3400,186.7379,464107,0.0000,1.0000
2019-10-23,188.2600,189.3700,184.4400,184.7700,184.1761,550103,0.0000,1.0000
2019-10-22,190.0400,191.2900,188.4900,188.7800,188.1732,528561,0.0000,1.0000
2019-10-21,189.2100,190.2500,187.7200,190.0500,189.4391,533190,0.0000,1.0000
2019-10-18,187.8900,188.1200,186.6700,187.7700,187.1665,619708,0.0000,1.0000
2019-10-17,188.7700,189.9450,187.7450,187.8900,187.2861,548034,0.0000,1.0000
2019-10-16,187.4600,189.0400,186.4800,188.5900,187.9838,539605,0.0000,1.0000
2019-10-15,187.9000,189.2300,187.7600,188.0000,187.3957,364004,0.0000,1.0000
2019-10-14,188.0800,192.0150,187.3000,187.6400,187.0369,608434,0.0000,1.0000
2019-10-11,189.7800,191.6900,187.9300,188.1000,187.4954,645293,0.0000,1.0000
2019-10-10,186.8100,189.1100,185.5400,187.6900,187.0867,459382,0.0000,1.0000
2019-10-09,185.8300,186.8800,183.6600,186.2000,185.6015,494056,0.0000,1.0000
2019-10-08,186.0900,186.6900,177.6035,184.3600,183.7674,571962,0.0000,1.0000
2019-10-07,187.8200,188.7300,186.6100,187.5900,186.9871,461860,0.0000,1.0000
2019-10-04,185.0500,189.4400,185.0500,188.6500,188.0436,578520,0.0000,1.0000
2019-10-03,184.4700,185.9600,182.2200,184.9900,184.3954,444350,0.0000,1.0000
2019-10-02,187.3700,187.6200,182.8500,184.2100,183.6179,773417,0.0000,1.0000
2019-10-01,194.3400,197.7050,187.7400,187.9300,187.3260,542010,0.0000,1.0000
2019-09-30,193.9900,196.9950,192.3700,192.9700,192.3498,531894,0.0000,1.0000
2019-09-27,197.8200,198.0200,192.6600,192.7000,192.0806,551528,0.6500,1.0000
2019-09-26,196.4100,198.5800,195.2000,198.0200,196.7200,450115,0.0000,1.0000
2019-09-25,196.8000,197.4500,196.0150,196.8000,195.5080,451169,0.0000,1.0000
2019-09-24,198.1400,199.5900,196.0200,197.3000,196.0047,627761,0.0000,1.0000
2019-09-23,195.4200,197.7500,195.0200,197.4000,196.1040,395625,0.0000,1.0000
2019-09-20,197.6300,199.2100,195.0000,196.3700,195.0808,745644,0.0000,1.0000
2019-09-19,198.1500,199.8700,197.8500,198.2000,196.8988,325920,0.0000,1.0000
2019-09-18,198.3800,198.9100,195.5500,198.6900,197.3856,448008,0.0000,1.0000
2019-09-17,194.8700,199.3000,194.8700,198.6400,197.3359,673779,0.0000,1.0000
2019-09-16,192.9800,195.1600,192.7600,195.0100,193.7297,389041,0.0000,1.0000
2019-09-13,195.1500,196.9000,193.3500,194.7000,193.4218,401269,0.0000,1.0000
2019-09-12,192.4800,195.5100,192.4800,194.6900,193.4118,418639,0.0000,1.0000
2019-09-11,191.4200,192.5000,190.1500,191.7400,190.4812,462629,0.0000,1.0000
2019-09-10,195.6300,195.6300,186.8900,189.6900,188.4447,726762,0.0000,1.0000
2019-09-09,198.3500,198.9900,195.2200,195.5300,194.2463,486455,0.0000,1.0000
2019-09-06,198.2300,198.9500,197.2300,197.7500,196.4517,369406,0.0000,1.0000
2019-09-05,199.0600,199.6400,196.9700,197.6900,196.3921,343285,0.0000,1.0000
2019-09-04,194.2800,197.0100,194.2800,196.5200,195.2298,461578,0.0000,1.0000
2019-09-03,197.3000,197.9800,194.7200,195.6600,194.3755,501646,0.0000,1.0000
2019-08-30,196.6600,198.4750,196.4200,197.9700,196.6703,649582,0.0000,1.0000
2019-08-29,194.1800,195.7800,193.3900,195.5000,194.2165,370422,0.0000,1.0000
2019-08-28,190.7400,192.6900,184.7100,192.3100,191.0475,429076,0.0000,1.0000
2019-08-27,193.0900,193.5900,190.8900,191.2600,190.0044,357859,0.0000,1.0000
2019-08-26,190.7400,192.0600,189.3200,192.0000,190.7395,365005,0.0000,1.0000
2019-08-23,193.4200,194.9500,188.0500,189.2100,187.9678,601854,0.0000,1.0000
2019-08-22,195.0000,195.6000,191.9900,194.3000,193.0244,312759,0.0000,1.0000
2019-08-21,194.7600,197.5200,192.5500,193.7500,192.4780,368499,0.0000,1.0000
2019-08-20,196.8700,197.3850,192.7800,193.3700,192.1005,447364,0.0000,1.0000
2019-08-19,197.1400,198.4750,195.6700,197.4600,196.1636,562048,0.0000,1.0000
2019-08-16,192.1300,194.7700,190.8700,194.5500,193.2728,1534209,0.0000,1.0000
2019-08-15,190.2600,191.2900,188.6000,190.4600,189.2096,950425,0.0000,1.0000
2019-08-14,193.0400,194.3600,189.6800,190.3400,189.0904,1014989,0.0000,1.0000
2019-08-13,192.9400,196.7900,192.2950,195.0000,193.7198,1478358,0.0000,1.0000
2019-08-12,196.7300,197.0600,192.5600,192.9300,191.6634,550504,0.0000,1.0000
2019-08-09,198.0000,199.7400,196.2900,197.2200,195.9252,853718,0.0000,1.0000
2019-08-08,194.2600,198.3100,193.2800,198.2200,196.9187,644455,0.0000,1.0000
2019-08-07,190.9300,194.2631,189.5200,193.3500,192.0806,506563,0.0000,1.0000
2019-08-06,188.7100,194.5850,188.2400,194.1500,192.8754,684347,0.0000,1.0000
2019-08-05,194.0800,196.3400,186.6900,188.7100,187.4711,1156678,0.0000,1.0000
2019-08-02,196.2000,197.5850,192.0600,195.3800,194.0973,670945,0.0000,1.0000
2019-08-01,195.9000,200.9300,195.4000,196.0400,194.7530,608563,0.0000,1.0000
2019-07-31,199.4800,200.9000,192.9100,195.2200,193.9384,1414515,0.0000,1.0000
2019-07-30,199.0900,199.3500,196.9700,197.4900,196.1935,538160,0.0000,1.0000
2019-07-29,198.6300,199.9000,197.6400,199.3600,198.0512,595187,0.0000,1.0000
2019-07-26,196.9900,199.4900,196.0900,199.1800,197.8724,480659,0.0000,1.0000
2019-07-25,197.3100,198.1900,196.3000,196.6500,195.3590,432977,0.0000,1.0000
2019-07-24,196.0600,197.3400,194.9200,197.1800,195.8855,365315,0.0000,1.0000
2019-07-23,196.5200,197.0600,194.8000,196.6400,195.3490,273865,0.0000,1.0000
2019-07-22,196.0700,197.3800,195.4100,195.6400,194.3556,324965,0.0000,1.0000
2019-07-19,198.2500,198.2500,195.8400,195.8800,194.5940,402261,0.0000,1.0000
2019-07-18,195.5800,198.0600,195.0300,197.7000,196.4021,423935,0.0000,1.0000
2019-07-17,197.1500,197.6125,195.0300,195.0300,193.7496,405154,0.0000,1.0000
2019-07-16,196.9800,198.3550,195.6600,197.4900,196.1935,383040,0.0000,1.0000
2019-07-15,197.0100,197.7000,196.2285,197.6700,196.3723,345957,0.0000,1.0000
2019-07-12,196.5200,196.8000,194.9300,196.4200,195.1305,506177,0.0000,1.0000
2019-07-11,197.1800,197.4500,194.4900,196.3000,195.0113,535395,0.0000,1.0000
2019-07-10,195.5800,196.6900,194.4700,195.6100,194.3258,414326,0.0000,1.0000
2019-07-09,193.6800,195.4400,192.9550,195.2500,193.9682,405561,0.0000,1.0000
2019-07-08,194.5000,195.2200,194.1100,194.6700,193.3920,358811,0.0000,1.0000
2019-07-05,195.1700,196.2900,193.1300,195.8400,194.5543,311624,0.0000,1.0000
2019-07-03,195.4800,195.7400,194.1600,195.7400,194.4549,329002,0.0000,1.0000
2019-07-02,194.0000,195.8200,193.6000,195.1500,193.8688,431943,0.0000,1.0000
2019-07-01,193.8100,194.2000,191.8100,193.9400,192.6668,436174,0.0000,1.0000
2019-06-28,189.8900,192.7900,188.6900,191.5400,190.2825,682758,0.0000,1.0000
2019-06-27,186.2900,189.2500,186.2900,188.9500,187.7095,455544,0.6500,1.0000
2019-06-26,192.2300,192.2300,185.5500,186.8500,184.9869,709397,0.0000,1.0000
2019-06-25,192.0500,192.9600,191.7700,192.3100,190.3925,469522,0.0000,1.0000
2019-06-24,191.3800,192.6400,191.3000,191.7700,189.8579,351759,0.0000,1.0000
2019-06-21,191.7500,192.9000,190.3800,191.8300,189.9173,1127517,0.0000,1.0000
2019-06-20,191.0600,192.0600,189.6000,191.6200,189.7094,609179,0.0000,1.0000
2019-06-19,188.3700,190.3800,188.2000,189.7300,187.8382,451104,0.0000,1.0000
2019-06-18,189.0700,190.6650,187.3300,188.1100,186.2344,454047,0.0000,1.0000
2019-06-17,190.0500,190.7200,187.7500,188.2800,186.4027,381745,0.0000,1.0000
2019-06-14,189.0000,190.5550,187.7250,190.3300,188.4322,364149,0.0000,1.0000
2019-06-13,188.5800,188.7800,186.8500,188.7100,186.8284,356471,0.0000,1.0000
2019-06-12,187.9600,189.3400,187.6300,188.1100,186.2344,418534,0.0000,1.0000
2019-06-11,188.8900,189.5400,187.6500,188.3100,186.4324,427485,0.0000,1.0000
2019-06-10,187.3900,188.8200,186.9450,188.3100,186.4324,729080,0.0000,1.0000
2019-06-07,183.9700,188.1700,183.9700,186.8800,185.0166,583746,0.0000,1.0000
2019-06-06,183.5500,183.8300,181.3500,183.4700,181.6406,321155,0.0000,1.0000
2019-06-05,179.4800,183.0100,178.8500,182.8500,181.0268,512017,0.0000,1.0000
2019-06-04,178.8700,179.2700,175.2000,179.2200,177.4330,396077,0.0000,1.0000
2019-06-03,175.7900,178.2600,175.2300,178.0600,176.2846,507281,0.0000,1.0000
2019-05-31,176.1300,177.1800,175.4200,175.5000,173.7501,417639,0.0000,1.0000
2019-05-30,176.4200,177.8400,175.7700,177.6900,175.9183,241201,0.0000,1.0000
2019-05-29,175.9500,176.4550,174.3100,175.6900,173.9382,346295,0.0000,1.0000
2019-05-28,177.6600,178.1500,176.2450,176.7100,174.9480,788592,0.0000,1.0000
2019-05-24,178.8000,178.9200,176.6400,177.7300,175.9579,307843,0.0000,1.0000
2019-05-23,178.6600,179.0700,176.6400,177.8300,176.0569,534067,0.0000,1.0000
2019-05-22,177.9900,180.0500,177.0800,180.0200,178.2250,416000,0.0000,1.0000
2019-05-21,176.9700,178.5300,176.9650,178.3100,176.5321,291711,0.0000,1.0000
2019-05-20,175.6500,176.5700,174.9900,176.3700,174.6114,556721,0.0000,1.0000
2019-05-17,176.7700,177.6300,175.7500,176.0000,174.2451,508949,0.0000,1.0000
2019-05-16,175.6600,178.2600,175.6600,178.0600,176.2846,586999,0.0000,1.0000
2019-05-15,174.4500,176.3700,174.4500,175.5400,173.7897,377254,0.0000,1.0000
2019-05-14,173.4600,176.7100,173.3700,175.3800,173.6313,512921,0.0000,1.0000
2019-05-13,174.3300,175.3800,173.4950,173.7000,171.9681,648022,0.0000,1.0000
2019-05-10,174.5200,176.9200,172.2900,176.6500,174.8886,411467,0.0000,1.0000
2019-05-09,174.0000,175.4400,172.8200,175.0000,173.2551,367663,0.0000,1.0000
2019-05-08,174.4400,176.5400,172.8500,175.5100,173.7600,480553,0.0000,1.0000
2019-05-07,177.1800,177.9300,173.4900,174.4100,172.6710,579354,0.0000,1.0000
