timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,31.0100,31.1000,30.8900,30.9800,30.9800,762656,0.0000,1.0000
2020-01-22,31.1900,31.2800,30.9800,31.0400,31.0400,678445,0.0000,1.0000
2020-01-21,31.0000,31.0900,30.6800,31.0800,31.0800,867276,0.0000,1.0000
2020-01-17,30.8400,31.0400,30.7700,30.9800,30.9800,865807,0.0000,1.0000
2020-01-16,30.7400,31.1200,30.6900,30.8600,30.8600,635538,0.0000,1.0000
2020-01-15,30.5800,30.8000,30.4600,30.7400,30.7400,699591,0.0000,1.0000
2020-01-14,30.2800,30.5500,30.1200,30.5100,30.5100,842427,0.0000,1.0000
2020-01-13,30.1000,30.3600,30.0300,30.3600,30.3600,905796,0.0000,1.0000
2020-01-10,29.8100,30.1500,29.7300,30.0800,30.0800,1170078,0.0000,1.0000
2020-01-09,30.2300,30.2300,29.7000,29.7500,29.7500,1477254,0.0000,1.0000
2020-01-08,30.2100,30.3000,30.0200,30.2300,30.2300,596929,0.0000,1.0000
2020-01-07,30.5600,30.5600,30.0800,30.2000,30.2000,537890,0.0000,1.0000
2020-01-06,30.7400,30.9000,30.4500,30.7700,30.7700,1346309,0.0000,1.0000
2020-01-03,30.1500,30.6400,30.1000,30.4700,30.4700,670152,0.0000,1.0000
2020-01-02,31.3800,31.3800,30.2450,30.3200,30.3200,786197,0.0000,1.0000
2019-12-31,30.8700,31.3400,30.8550,31.2400,31.2400,941057,0.0000,1.0000
2019-12-30,30.7500,30.9750,30.6900,30.9500,30.9500,664681,0.0000,1.0000
2019-12-27,30.9700,31.2100,30.7650,30.9000,30.9000,700861,0.0000,1.0000
2019-12-26,31.0100,31.1800,30.8200,31.0300,31.0300,655378,0.0000,1.0000
2019-12-24,31.0000,31.1600,30.9300,30.9700,30.9700,324735,0.0000,1.0000
2019-12-23,31.2900,31.3100,30.8700,30.9400,30.9400,498522,0.0000,1.0000
2019-12-20,31.1600,31.2950,31.0700,31.2200,31.2200,1308993,0.0000,1.0000
2019-12-19,31.2700,31.4000,30.9650,31.0600,31.0600,649078,0.0000,1.0000
2019-12-18,30.8000,31.3500,30.7500,31.2200,31.2200,771248,0.0000,1.0000
2019-12-17,30.9700,31.0000,30.7000,30.7900,30.7900,755371,0.0000,1.0000
2019-12-16,30.4100,31.0100,30.2300,30.8400,30.8400,1072129,0.0000,1.0000
2019-12-13,30.8300,30.8700,30.2000,30.4600,30.4600,978339,0.0000,1.0000
2019-12-12,31.2000,31.3500,30.6800,30.7000,30.7000,2143018,0.0000,1.0000
2019-12-11,31.5100,31.5900,30.7600,31.0300,31.0300,1043495,0.0000,1.0000
2019-12-10,31.4200,31.7000,31.1200,31.4400,31.4400,662896,0.0000,1.0000
2019-12-09,31.2100,31.4400,31.0500,31.3600,31.3600,730851,0.0000,1.0000
2019-12-06,31.2400,31.4400,31.1400,31.1800,31.1800,1208050,0.0000,1.0000
2019-12-05,31.5800,31.7500,31.0500,31.1800,31.1800,943627,0.3950,1.0000
2019-12-04,31.5200,32.1100,31.5200,32.1000,31.6984,1534076,0.0000,1.0000
2019-12-03,31.5000,31.8400,31.4300,31.6700,31.2738,775631,0.0000,1.0000
2019-12-02,31.8000,31.9500,31.4900,31.5700,31.1751,1007294,0.0000,1.0000
2019-11-29,32.0800,32.1700,31.8100,31.8400,31.4417,408488,0.0000,1.0000
2019-11-27,31.8100,32.0500,31.7200,32.0500,31.6491,828057,0.0000,1.0000
2019-11-26,31.5200,31.8350,31.5200,31.8100,31.4121,883290,0.0000,1.0000
2019-11-25,31.2500,31.5700,31.1200,31.4200,31.0269,836931,0.0000,1.0000
2019-11-22,31.0000,31.0000,30.5400,30.9000,30.5134,950040,0.0000,1.0000
2019-11-21,31.3100,31.3800,30.8550,30.9100,30.5233,584070,0.0000,1.0000
2019-11-20,31.6400,31.6605,31.0450,31.3300,30.9381,961361,0.0000,1.0000
2019-11-19,31.9300,31.9300,31.6600,31.7500,31.3528,675388,0.0000,1.0000
2019-11-18,31.6400,31.8400,31.4500,31.8200,31.4219,532688,0.0000,1.0000
2019-11-15,31.5100,31.5900,31.2541,31.5200,31.1257,1180236,0.0000,1.0000
2019-11-14,31.1400,31.5300,31.0100,31.5200,31.1257,716377,0.0000,1.0000
2019-11-13,30.6700,31.1600,30.5600,31.0100,30.6221,939980,0.0000,1.0000
2019-11-12,30.9600,31.2400,30.6000,30.6600,30.2764,895111,0.0000,1.0000
2019-11-11,31.0800,31.1700,30.8700,30.9500,30.5628,1001612,0.0000,1.0000
2019-11-08,31.0300,31.3300,31.0300,31.1600,30.7702,514459,0.0000,1.0000
2019-11-07,31.8300,31.8900,31.0900,31.1400,30.7504,976015,0.0000,1.0000
2019-11-06,31.6000,31.9700,31.5000,31.9000,31.5009,1087628,0.0000,1.0000
2019-11-05,31.9400,32.0300,31.3900,31.5800,31.1849,1267776,0.0000,1.0000
2019-11-04,32.0200,32.0800,31.8650,32.0100,31.6096,723222,0.0000,1.0000
2019-11-01,31.7400,32.1100,31.6600,32.0700,31.6688,1335667,0.0000,1.0000
2019-10-31,31.8100,31.9700,31.4400,31.7300,31.3331,1850281,0.0000,1.0000
2019-10-30,30.0300,31.7800,29.7500,31.7700,31.3726,1802665,0.0000,1.0000
2019-10-29,29.6000,30.0400,29.6000,29.8700,29.4963,2222764,0.0000,1.0000
2019-10-28,29.6400,29.6700,29.5300,29.6000,29.2297,484181,0.0000,1.0000
2019-10-25,29.5600,29.6800,29.3100,29.6700,29.2988,539589,0.0000,1.0000
2019-10-24,29.5000,29.5800,29.3100,29.5800,29.2100,585559,0.0000,1.0000
2019-10-23,29.6300,29.6400,29.2750,29.4400,29.0717,1213771,0.0000,1.0000
2019-10-22,29.6500,29.6800,29.4700,29.5700,29.2001,1913631,0.0000,1.0000
2019-10-21,29.4200,29.5884,29.4100,29.5700,29.2001,521914,0.0000,1.0000
2019-10-18,29.0800,29.3800,28.9900,29.3500,28.9828,515999,0.0000,1.0000
2019-10-17,29.0900,29.2750,29.0500,29.1400,28.7755,404529,0.0000,1.0000
2019-10-16,28.9200,29.1200,28.8100,29.0900,28.7261,511515,0.0000,1.0000
2019-10-15,28.9700,29.0250,28.8400,28.9500,28.5878,716957,0.0000,1.0000
2019-10-14,28.9000,28.9400,28.7300,28.9400,28.5780,628500,0.0000,1.0000
2019-10-11,28.7000,29.0500,28.6100,28.9000,28.5385,940783,0.0000,1.0000
2019-10-10,28.5600,28.7000,28.4800,28.6000,28.2422,814432,0.0000,1.0000
2019-10-09,28.8300,28.8300,28.4500,28.5600,28.2027,1074765,0.0000,1.0000
2019-10-08,28.7900,28.8500,28.6150,28.7000,28.3410,901533,0.0000,1.0000
2019-10-07,28.6600,28.9900,28.6400,28.8700,28.5088,750550,0.0000,1.0000
2019-10-04,28.6800,28.8400,28.6100,28.8200,28.4595,598318,0.0000,1.0000
2019-10-03,28.9000,28.9900,28.5000,28.6700,28.3113,874808,0.0000,1.0000
2019-10-02,28.5500,29.0500,28.4600,29.0300,28.6668,1244733,0.0000,1.0000
2019-10-01,29.1500,29.3100,28.6050,28.6100,28.2521,869555,0.0000,1.0000
2019-09-30,29.3500,29.3600,29.1300,29.1300,28.7656,828672,0.0000,1.0000
2019-09-27,29.1800,29.3700,29.1200,29.2800,28.9137,888689,0.0000,1.0000
2019-09-26,28.7600,29.1100,28.5800,29.1000,28.7360,578327,0.0000,1.0000
2019-09-25,28.7000,28.9700,28.5800,28.6700,28.3113,1031082,0.0000,1.0000
2019-09-24,28.6000,28.8400,28.5400,28.7000,28.3410,1347670,0.0000,1.0000
2019-09-23,28.5100,28.8200,28.4800,28.6000,28.2422,1764730,0.0000,1.0000
2019-09-20,28.6400,28.8800,28.5700,28.6900,28.3311,1415872,0.0000,1.0000
2019-09-19,28.4500,28.6500,28.3500,28.5800,28.2225,801425,0.0000,1.0000
2019-09-18,28.2900,28.3900,28.0600,28.3600,28.0052,1061957,0.0000,1.0000
2019-09-17,28.1900,28.2500,27.8600,28.2000,27.8472,706418,0.0000,1.0000
2019-09-16,28.2300,28.2400,27.9300,28.1700,27.8176,745411,0.0000,1.0000
2019-09-13,28.1500,28.4600,27.9100,28.1400,27.7880,1832544,0.0000,1.0000
2019-09-12,28.6000,28.6000,28.0800,28.1400,27.7880,1200850,0.0000,1.0000
2019-09-11,28.0800,28.4500,27.8400,28.4400,28.0842,1127546,0.0000,1.0000
2019-09-10,27.7000,28.1300,27.6700,28.1000,27.7485,1782480,0.0000,1.0000
2019-09-09,27.1300,27.7200,27.0600,27.7100,27.3634,949898,0.0000,1.0000
2019-09-06,27.0600,27.3000,27.0200,27.1600,26.8202,1215063,0.0000,1.0000
2019-09-05,26.9200,27.0500,26.6133,27.0000,26.6622,1783967,0.3950,1.0000
2019-09-04,27.0400,27.3800,26.9700,27.3000,26.5698,1401516,0.0000,1.0000
2019-09-03,26.4700,26.9100,26.4100,26.8700,26.1513,773837,0.0000,1.0000
2019-08-30,26.4100,26.5500,26.3400,26.4900,25.7814,773540,0.0000,1.0000
2019-08-29,26.3600,26.5100,26.3050,26.4000,25.6938,599830,0.0000,1.0000
2019-08-28,26.2300,26.3600,26.1000,26.2500,25.5479,415062,0.0000,1.0000
2019-08-27,26.6700,26.7400,26.2000,26.2200,25.5187,872325,0.0000,1.0000
2019-08-26,26.6300,26.6600,26.2600,26.5400,25.8301,816954,0.0000,1.0000
2019-08-23,27.0800,27.2000,26.3500,26.4500,25.7425,743284,0.0000,1.0000
2019-08-22,27.0200,27.2100,26.8600,27.1300,26.4043,687509,0.0000,1.0000
2019-08-21,27.0300,27.1800,26.8600,27.0000,26.2778,842227,0.0000,1.0000
2019-08-20,27.3400,27.3400,26.9100,26.9300,26.2097,521442,0.0000,1.0000
2019-08-19,27.3000,27.3200,27.1400,27.2600,26.5308,526611,0.0000,1.0000
2019-08-16,26.8700,27.2000,26.7200,27.1500,26.4238,1091641,0.0000,1.0000
2019-08-15,26.8800,27.1200,26.7800,26.8400,26.1221,1205880,0.0000,1.0000
2019-08-14,27.3500,27.3600,26.7800,26.8500,26.1318,1544693,0.0000,1.0000
2019-08-13,27.5700,27.8000,27.4700,27.5200,26.7839,501074,0.0000,1.0000
2019-08-12,27.7700,27.8100,27.3850,27.5600,26.8228,741791,0.0000,1.0000
2019-08-09,27.8900,28.1000,27.5600,27.8500,27.1051,861492,0.0000,1.0000
2019-08-08,27.9500,28.1700,27.7100,27.9900,27.2413,1269022,0.0000,1.0000
2019-08-07,27.3900,27.9700,27.0900,27.8800,27.1343,903463,0.0000,1.0000
2019-08-06,27.1000,27.5700,27.1000,27.4900,26.7547,1086348,0.0000,1.0000
2019-08-05,27.7600,27.8850,26.7700,27.2700,26.5406,888418,0.0000,1.0000
2019-08-02,27.8200,28.0500,27.5700,27.9700,27.2219,1001335,0.0000,1.0000
2019-08-01,27.9200,28.1200,27.5200,27.6200,26.8812,1183197,0.0000,1.0000
2019-07-31,27.8000,28.1900,27.7300,27.9100,27.1635,1170893,0.0000,1.0000
2019-07-30,27.6700,28.0000,27.6300,27.8200,27.0759,1075181,0.0000,1.0000
2019-07-29,27.6500,27.9400,27.5900,27.7100,26.9688,464851,0.0000,1.0000
2019-07-26,27.5000,27.6300,27.2700,27.5600,26.8228,688687,0.0000,1.0000
2019-07-25,27.6800,27.6800,27.4000,27.4600,26.7255,714322,0.0000,1.0000
2019-07-24,27.4600,27.6700,27.3200,27.6200,26.8812,574945,0.0000,1.0000
2019-07-23,26.8700,27.5400,26.7500,27.4600,26.7255,768178,0.0000,1.0000
2019-07-22,26.9400,26.9800,26.7000,26.8200,26.1026,584915,0.0000,1.0000
2019-07-19,27.3600,27.4200,26.8300,26.8600,26.1415,728488,0.0000,1.0000
2019-07-18,27.4600,27.4900,27.0600,27.3300,26.5990,381213,0.0000,1.0000
2019-07-17,27.6000,27.6900,27.2200,27.4700,26.7352,621204,0.0000,1.0000
2019-07-16,27.5500,27.6300,27.3700,27.5100,26.7742,548243,0.0000,1.0000
2019-07-15,27.6900,27.8100,27.5100,27.6400,26.9007,509782,0.0000,1.0000
2019-07-12,27.6600,27.7600,27.4200,27.6300,26.8909,451308,0.0000,1.0000
2019-07-11,28.0600,28.0600,27.4150,27.5700,26.8326,720408,0.0000,1.0000
2019-07-10,28.0100,28.1600,27.8150,28.0200,27.2705,576857,0.0000,1.0000
2019-07-09,27.7500,27.9400,27.5850,27.8500,27.1051,562952,0.0000,1.0000
2019-07-08,27.6800,27.8300,27.5900,27.8100,27.0661,615473,0.0000,1.0000
2019-07-05,27.4200,27.8300,27.0900,27.7400,26.9980,492832,0.0000,1.0000
2019-07-03,27.4500,27.7250,27.4200,27.5900,26.8520,494301,0.0000,1.0000
2019-07-02,27.1800,27.4700,27.0800,27.3900,26.6574,1009486,0.0000,1.0000
2019-07-01,27.6500,27.6800,26.7400,27.0900,26.3654,880309,0.0000,1.0000
2019-06-28,27.2800,27.6600,27.2400,27.4200,26.6866,1425858,0.0000,1.0000
2019-06-27,27.1000,27.3898,27.1000,27.2500,26.5211,859609,0.0000,1.0000
2019-06-26,27.6800,27.6800,26.9500,26.9700,26.2486,1304615,0.0000,1.0000
2019-06-25,27.9900,28.1800,27.5800,27.6700,26.9299,1050225,0.0000,1.0000
2019-06-24,28.4500,28.5600,27.8000,27.9000,27.1537,1220095,0.0000,1.0000
2019-06-21,28.4600,28.5700,28.2075,28.3700,27.6112,2020119,0.0000,1.0000
2019-06-20,28.8400,28.9400,28.6800,28.7600,27.9907,979558,0.0000,1.0000
2019-06-19,28.5800,28.8250,28.4400,28.7600,27.9907,817601,0.0000,1.0000
2019-06-18,28.9000,29.1000,28.4600,28.5900,27.8253,952134,0.0000,1.0000
2019-06-17,28.5200,28.8200,28.5000,28.8200,28.0491,683461,0.0000,1.0000
2019-06-14,28.3500,28.5100,28.2200,28.4300,27.6695,829055,0.0000,1.0000
2019-06-13,28.3000,28.4700,28.1600,28.4100,27.6501,856843,0.0000,1.0000
2019-06-12,28.1800,28.3700,28.0700,28.2500,27.4944,799456,0.0000,1.0000
2019-06-11,28.1400,28.2400,27.9300,28.1500,27.3970,1138959,0.0000,1.0000
2019-06-10,28.2700,28.2800,27.7700,28.0100,27.2608,761338,0.0000,1.0000
2019-06-07,28.4000,28.4600,28.1200,28.2000,27.4457,704950,0.0000,1.0000
2019-06-06,28.3800,28.4500,28.0500,28.2800,27.5236,968484,0.3950,1.0000
2019-06-05,28.3600,28.7400,28.1800,28.7000,27.5476,1424572,0.0000,1.0000
2019-06-04,28.3800,28.4600,27.9600,28.2000,27.0676,830297,0.0000,1.0000
2019-06-03,28.3200,28.4300,27.8700,28.3300,27.1924,1372368,0.0000,1.0000
2019-05-31,28.2800,28.4200,27.9800,28.2000,27.0676,1807990,0.0000,1.0000
2019-05-30,28.5300,28.7600,28.3750,28.4200,27.2788,573341,0.0000,1.0000
2019-05-29,28.8300,28.9300,28.3700,28.5200,27.3748,1124282,0.0000,1.0000
2019-05-28,29.3500,29.4300,28.9000,28.9800,27.8163,1289392,0.0000,1.0000
2019-05-24,29.1400,29.2200,28.8900,29.1900,28.0179,609065,0.0000,1.0000
2019-05-23,28.8900,28.9950,28.6800,28.9800,27.8163,607903,0.0000,1.0000
2019-05-22,28.9100,29.0500,28.8000,29.0300,27.8643,1590562,0.0000,1.0000
2019-05-21,28.6800,29.0000,28.6600,28.9500,27.7875,635849,0.0000,1.0000
2019-05-20,28.9000,28.9250,28.3100,28.5600,27.4132,879040,0.0000,1.0000
2019-05-17,28.9000,28.9900,28.6600,28.9300,27.7683,1289458,0.0000,1.0000
