timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,23.9100,24.5500,23.7500,24.1500,24.1500,36485,0.0000,1.0000
2020-01-22,23.9900,24.3100,23.9900,24.3100,24.3100,12265,0.0000,1.0000
2020-01-21,24.2350,24.3700,24.0100,24.0500,24.0500,15399,0.0000,1.0000
2020-01-17,24.7400,24.7400,23.9200,24.3200,24.3200,35496,0.0000,1.0000
2020-01-16,24.4700,24.7800,24.4700,24.5400,24.5400,20199,0.0000,1.0000
2020-01-15,24.5600,24.5600,23.6200,24.3200,24.3200,19642,0.0000,1.0000
2020-01-14,24.7400,24.9000,24.4400,24.5600,24.5600,16036,0.0000,1.0000
2020-01-13,24.6400,24.9150,24.5200,24.8400,24.8400,12699,0.0000,1.0000
2020-01-10,24.9100,24.9100,24.5000,24.6300,24.6300,20787,0.0000,1.0000
2020-01-09,25.2000,25.2900,24.8400,24.8900,24.8900,9157,0.0000,1.0000
2020-01-08,25.1000,25.2900,24.9600,25.1000,25.1000,9422,0.0000,1.0000
2020-01-07,25.2000,25.3800,24.8800,24.8800,24.8800,12777,0.0000,1.0000
2020-01-06,25.1100,25.4700,24.4962,25.3600,25.3600,12627,0.0000,1.0000
2020-01-03,25.2400,25.5100,25.2300,25.2900,25.2900,11746,0.0000,1.0000
2020-01-02,25.6800,25.6800,25.2800,25.5300,25.5300,23421,0.0000,1.0000
2019-12-31,25.7300,25.9283,25.5900,25.6300,25.6300,24700,0.0000,1.0000
2019-12-30,25.4700,25.7300,25.3700,25.6600,25.6600,20034,0.0000,1.0000
2019-12-27,25.3900,25.4800,25.0700,25.4800,25.4800,40192,0.0000,1.0000
2019-12-26,25.4400,25.4800,25.3400,25.3800,25.3800,7624,0.0000,1.0000
2019-12-24,25.4969,25.5500,25.3100,25.3600,25.3600,5693,0.0000,1.0000
2019-12-23,25.4500,25.4679,25.1500,25.3700,25.3700,13212,0.0000,1.0000
2019-12-20,25.4200,25.5100,25.3250,25.5100,25.5100,59447,0.0000,1.0000
2019-12-19,23.8020,25.4500,23.8020,25.3400,25.3400,17448,0.0000,1.0000
2019-12-18,25.3100,25.4700,25.3100,25.3300,25.3300,19926,0.0000,1.0000
2019-12-17,25.3100,25.3100,25.2100,25.2500,25.2500,29315,0.0000,1.0000
2019-12-16,25.0400,25.3700,25.0400,25.1700,25.1700,13015,0.0000,1.0000
2019-12-13,24.6400,24.9900,24.6300,24.9100,24.9100,24548,0.0000,1.0000
2019-12-12,24.9600,25.1200,24.7700,24.8200,24.8200,56367,0.0000,1.0000
2019-12-11,24.9100,24.9100,24.6601,24.7200,24.7200,21962,0.0000,1.0000
2019-12-10,24.6600,24.8800,24.6600,24.8400,24.8400,25544,0.0000,1.0000
2019-12-09,24.4900,24.8500,24.4900,24.6100,24.6100,29449,0.0000,1.0000
2019-12-06,24.5600,24.8400,24.4600,24.5700,24.5700,31292,0.0000,1.0000
2019-12-05,24.7500,24.7500,24.2200,24.2800,24.2800,10401,0.0000,1.0000
2019-12-04,24.1700,24.4500,24.1700,24.2100,24.2100,13805,0.0000,1.0000
2019-12-03,23.8800,24.1100,23.7700,24.0400,24.0400,18661,0.0000,1.0000
