timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,101.8600,101.8600,100.6200,101.8300,101.8300,131369,0.0000,1.0000
2020-01-22,101.6400,103.0950,101.0400,102.2900,102.2900,130340,0.0000,1.0000
2020-01-21,101.1800,101.3750,100.4300,101.1400,101.1400,145417,0.0000,1.0000
2020-01-17,101.6000,101.6000,100.7300,101.4600,101.4600,120197,0.0000,1.0000
2020-01-16,100.5400,101.7200,100.5400,100.9400,100.9400,108127,0.0000,1.0000
2020-01-15,99.5600,100.7700,99.1300,99.7900,99.7900,96862,0.0000,1.0000
2020-01-14,99.7800,100.5800,98.9000,99.9600,99.9600,101360,0.0000,1.0000
2020-01-13,98.5300,100.0400,98.4800,100.0000,100.0000,113398,0.0000,1.0000
2020-01-10,99.2500,99.3500,98.0000,98.4200,98.4200,76963,0.0000,1.0000
2020-01-09,99.5100,100.0900,98.9700,99.0500,99.0500,109523,0.0000,1.0000
2020-01-08,98.5500,99.9200,98.5500,98.8900,98.8900,115370,0.0000,1.0000
2020-01-07,98.8100,99.3900,98.3300,98.5200,98.5200,91440,0.0000,1.0000
2020-01-06,99.4400,99.8300,98.7400,99.3300,99.3300,131125,0.0000,1.0000
2020-01-03,98.7800,100.4700,98.4600,100.3200,100.3200,165967,0.0000,1.0000
2020-01-02,100.2000,100.6300,98.9900,100.0900,100.0900,111917,0.0000,1.0000
2019-12-31,99.5500,100.4600,99.5500,99.7600,99.7600,89403,0.0000,1.0000
2019-12-30,99.6800,100.0884,99.2650,99.6600,99.6600,103668,0.0000,1.0000
2019-12-27,100.3400,100.3650,99.5550,99.7700,99.7700,95325,0.0000,1.0000
2019-12-26,100.0600,100.1050,99.5500,99.7200,99.7200,47408,0.0000,1.0000
2019-12-24,100.6100,100.6100,99.5200,100.0600,100.0600,41233,0.0000,1.0000
2019-12-23,99.6800,100.8600,98.8000,100.4200,100.4200,84221,0.0000,1.0000
2019-12-20,99.3000,99.9600,98.8100,99.4800,99.4800,499463,0.0000,1.0000
2019-12-19,99.9000,100.1400,98.2500,99.0900,99.0900,124656,0.0000,1.0000
2019-12-18,99.2600,99.9000,98.0900,99.8500,99.8500,172691,0.0000,1.0000
2019-12-17,98.8800,99.0100,98.1200,98.5400,98.5400,91330,0.0000,1.0000
2019-12-16,100.0200,100.8000,98.3700,98.5700,98.5700,119118,0.0000,1.0000
2019-12-13,98.8900,100.0000,98.2000,99.1900,99.1900,133230,0.0000,1.0000
2019-12-12,98.0400,99.5900,98.0400,99.0600,99.0600,174991,0.0000,1.0000
2019-12-11,97.1400,98.5100,96.7300,98.3100,98.3100,115966,0.0000,1.0000
2019-12-10,97.7500,97.9300,96.2800,96.6500,96.6500,124891,0.0000,1.0000
2019-12-09,97.9300,98.4700,97.5300,97.7500,97.7500,145558,0.0000,1.0000
2019-12-06,97.0700,98.5600,96.9800,98.0400,98.0400,148623,0.0000,1.0000
2019-12-05,95.6600,96.5200,95.1100,95.8200,95.8200,193275,0.0000,1.0000
2019-12-04,96.2400,97.4200,95.3500,95.3800,95.3800,129285,0.0000,1.0000
2019-12-03,95.2800,95.9800,94.5800,95.6800,95.6800,114806,0.0000,1.0000
2019-12-02,97.0500,97.7100,96.1600,96.2500,96.2500,171684,0.0000,1.0000
2019-11-29,97.2300,97.8350,96.8200,96.9600,96.9600,43445,0.0000,1.0000
2019-11-27,97.6700,98.2900,96.6400,97.4800,97.4800,68352,0.2300,1.0000
2019-11-26,96.4100,97.7500,95.8900,97.6300,97.4002,116892,0.0000,1.0000
2019-11-25,95.4300,96.8100,94.7100,96.4700,96.2429,113858,0.0000,1.0000
2019-11-22,95.6000,95.7100,94.7000,95.3700,95.1455,82723,0.0000,1.0000
2019-11-21,95.4900,96.1500,94.9300,95.1600,94.9360,143449,0.0000,1.0000
2019-11-20,95.3300,95.8900,94.4100,95.4500,95.2253,155362,0.0000,1.0000
2019-11-19,95.9100,97.4750,95.5900,95.6700,95.4448,202621,0.0000,1.0000
2019-11-18,94.6700,95.5600,94.4550,95.0900,94.8662,122480,0.0000,1.0000
2019-11-15,95.7100,96.1600,94.8300,95.3300,95.1056,156061,0.0000,1.0000
2019-11-14,95.3800,95.5000,94.6600,94.9000,94.6766,88181,0.0000,1.0000
2019-11-13,94.9800,95.8000,94.7500,95.6200,95.3949,173354,0.0000,1.0000
2019-11-12,95.5000,96.4500,94.9300,95.7000,95.4747,150445,0.0000,1.0000
2019-11-11,94.3900,95.4900,94.1700,95.4900,95.2652,87192,0.0000,1.0000
2019-11-08,95.6100,96.1600,94.8200,95.1600,94.9360,115161,0.0000,1.0000
2019-11-07,96.4900,97.5000,95.2600,95.8000,95.5745,157636,0.0000,1.0000
2019-11-06,93.5000,95.6100,93.2400,95.5300,95.3051,227718,0.0000,1.0000
2019-11-05,94.9800,94.9850,92.9400,94.1400,93.9184,178438,0.0000,1.0000
2019-11-04,95.4700,96.1000,94.6900,95.0800,94.8562,150739,0.0000,1.0000
2019-11-01,94.2400,95.3300,93.7300,94.9400,94.7165,159336,0.0000,1.0000
2019-10-31,94.0800,95.9400,92.0300,93.2500,93.0305,228003,0.0000,1.0000
2019-10-30,95.3200,95.3200,93.1150,94.5000,94.2776,186083,0.0000,1.0000
2019-10-29,92.9000,95.4800,92.5450,95.3800,95.1555,157382,0.0000,1.0000
2019-10-28,92.6200,93.9600,92.5200,93.5400,93.3198,183646,0.0000,1.0000
