timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,66.7100,66.9300,66.0500,66.8600,66.8600,13939380,0.0000,1.0000
2020-01-22,67.5600,67.7000,67.0000,67.1900,67.1900,16538603,0.0000,1.0000
2020-01-21,68.3800,68.4200,67.5100,67.5800,67.5800,17980041,0.0000,1.0000
2020-01-17,68.7500,69.0800,68.2900,68.5600,68.5600,18142223,0.0000,1.0000
2020-01-16,69.3000,69.5850,68.8000,68.8200,68.8200,13338661,0.0000,1.0000
2020-01-15,69.2000,69.5899,68.8900,69.0900,69.0900,11388443,0.0000,1.0000
2020-01-14,69.3800,69.5799,68.8900,69.2000,69.2000,16260784,0.0000,1.0000
2020-01-13,69.2000,69.8700,69.1100,69.8000,69.8000,9953779,0.0000,1.0000
2020-01-10,69.9300,69.9600,69.1200,69.1400,69.1400,11995576,0.0000,1.0000
2020-01-09,69.1400,69.9000,68.6250,69.7600,69.7600,14811802,0.0000,1.0000
2020-01-08,70.1100,70.2850,69.1700,69.2300,69.2300,15136196,0.0000,1.0000
2020-01-07,70.5000,70.5200,69.5100,70.2900,70.2900,17413263,0.0000,1.0000
2020-01-06,70.3200,71.3550,70.2300,70.8700,70.8700,20060484,0.0000,1.0000
2020-01-03,71.3400,71.3700,70.1600,70.3300,70.3300,17385554,0.0000,1.0000
2020-01-02,70.2400,71.0200,70.2368,70.9000,70.9000,12455392,0.0000,1.0000
2019-12-31,69.0200,69.8000,69.0100,69.7800,69.7800,13151791,0.0000,1.0000
2019-12-30,70.0900,70.4350,69.4000,69.4800,69.4800,12689357,0.0000,1.0000
2019-12-27,70.2000,70.3123,69.8800,69.8900,69.8900,10515882,0.0000,1.0000
2019-12-26,70.1900,70.5000,70.0100,70.1300,70.1300,8839983,0.0000,1.0000
2019-12-24,70.3500,70.5000,69.9101,70.0200,70.0200,3979442,0.0000,1.0000
2019-12-23,69.8600,70.3000,69.5300,70.2900,70.2900,14172451,0.0000,1.0000
2019-12-20,69.8600,70.2267,69.3900,69.9400,69.9400,35091987,0.0000,1.0000
2019-12-19,69.9900,70.0500,69.2400,69.3900,69.3900,13273228,0.0000,1.0000
