ticker,p-value,h
AAPL,0.006004931453873164,0.7815805139236561
MO,0.49239065832587003,0.5618940363603957
T,0.22207253545309524,0.5305406286155272
BKH,0.37216317173180635,0.6767281487872672
CVX,0.5363022754984207,0.592315575358474
KO,0.15686520131475723,0.6074345091920068
CBU,0.6812580591253142,0.6663857599696466
ED,0.5865745296787007,0.5941553145842721
XOM,0.005762697120718337,0.44000910698505286
FRT,0.07140499642771883,0.5214239118310717
HP,0.046634379884478896,0.5068028320185437
KMB,0.12949924309838196,0.5310300706448369
LEG,0.03782751345134616,0.5200949339779519
MCY,0.05831550699044645,0.5243161965611794
MDP,0.04235220386566822,0.5609529923616301
NNN,0.366316047069681,0.6223639547873504
NWN,0.49461374447517736,0.6194174059303489
ORI,0.8500826352787514,0.63619278102187
PG,0.045655317779075076,0.7073187521679277
O,0.35894813282530147,0.6526934441465617
TGT,0.057505025402320636,0.6931314008841769
UBSI,0.027404475243909605,0.4859193066622161
UVV,0.26122345066551456,0.5255742330495711
UHT,0.007592880125999384,0.7755003935159931
SRCE,0.8159488959482981,0.6580906549310611
MMM,0.6338950451189989,0.6220802796210866
AOS,0.8809500929970531,0.6388288368984322
ABM,0.3387440049860995,0.5329746901926576
AFL,0.7216031029494298,0.7063270325781825
APD,0.10204244852246924,0.6679061488711846
AWR,0.3180988125259255,0.7370448693230263
WTR,0.016114079955178058,0.6739877574611874
ADM,0.09569222534137872,0.5484004812179004
ATO,0.6581110362904777,0.7174107938575622
ADP,0.42374365703668854,0.7184613113156351
BMI,0.43391745613732585,0.6435294671593098
BDX,0.578383536178226,0.6706426708782044
BRC,0.30239374818313447,0.75286085007887
BF-B,0.19295706732285584,0.6371538505890451
CWT,0.7772335396640433,0.7251848341177859
CSL,0.10495123373380683,0.6506095351995613
CPKF,0.9344166012462644,0.7101366853517761
CINF,0.6391467456556748,0.7369698064074991
CTAS,0.18814392905444038,0.831416594258756
CLX,0.6217190345727805,0.5535000702411782
CL,0.05685454020942987,0.46774498969163447
CBSH,0.6391288520567059,0.6943951265802476
CTBI,0.6966276247060064,0.5838029633128162
CSVI,0.09804187693728061,0.8041762403475308
CTWS,0.833205876697794,0.6875146194253544
CFR,0.7376116938811276,0.6931439422131003
DCI,0.519484058566861,0.6491335903602501
DOV,0.09220978411769598,0.7382224878273888
EFSI,0.92246085118741,0.6414101034889372
EV,0.5695622867049129,0.6579471982148938
ECL,0.39361106297103654,0.7025569218332794
EMR,0.2542145329965706,0.5927244670035642
ERIE,0.5754149228005444,0.8215647191516053
THFF,0.6935604794578665,0.5759347525682347
FELE,0.13703145191233884,0.6183149269267293
BEN,0.49177093606342803,0.5087692185653967
GD,0.7594485414642395,0.6374724518081815
GPC,0.13111931961312667,0.4971956283269226
GRC,0.10932058119140886,0.5353408273921533
FUL,0.2444600020107311,0.5318059135060982
HRL,0.5508411617397244,0.579907378172688
ITW,0.5310626620316898,0.7117123249718345
JKHY,0.8059698934383465,0.7375553485122835
JNJ,0.6003488179280365,0.6104481364566016
LANC,0.75854755468828,0.6541929290737559
MKC,0.38223759799587426,0.6945244271735597
MGRC,0.22533746959528878,0.7777793840033291
MDU,0.6168806767798357,0.6604657529885164
MDT,0.024057821800816535,0.6462949539293633
MGEE,0.4967735825216473,0.6633592304652122
MSEX,0.5298750639969179,0.7092518652406159
MSA,0.20807995274906016,0.7935884903586896
NC,0.5559194761228881,0.8167378922195762
NFG,0.13905393120473025,0.537381309197582
NDSN,0.4359167482898835,0.7223496407790068
NUE,0.47170963411273104,0.5616678473329382
PH,0.49846162131710414,0.6748913458894114
PNR,0.06259527831129368,0.5260286506224965
PEP,0.22954625395790995,0.6447110019822669
PPG,0.03397263307944125,0.5206260857957835
RLI,0.4437598487557713,0.6773378958764374
ROP,0.4723029258940652,0.7191178858865812
RPM,0.16033942117871458,0.6480595261124598
SPGI,0.0713350936426306,0.8201541579010725
SEIC,0.5435650044445207,0.6505253471380404
SHW,0.13646343210211992,0.7241379524973874
SJW,0.5447466473349972,0.6825115583935439
SON,0.6424412809628193,0.6256852593726743
SWK,0.4379534829936519,0.6158383878020207
SCL,0.7452966015029278,0.6688349964981797
SYK,0.6888990792702641,0.7233986288877965
SYY,0.4631050080734088,0.7278898984411838
TROW,0.18789127112465454,0.6519464307115341
SKT,0.6987365376486081,0.6570131516009304
TDS,0.027629479816541205,0.47942576992820257
TNC,0.04100342044358918,0.5569217795524831
TMP,0.7049221356147668,0.6044684703671787
TR,0.5139957080567613,0.5015393387842306
UGI,0.829417249616324,0.6232910170999222
UMBF,0.5963662126191588,0.5806954335877555
VFC,0.2243181958509166,0.6282852004393775
GWW,0.30068700353393074,0.6411009531321155
WBA,0.11292805598507039,0.5212537250619573
WMT,0.32793119350500965,0.6768493911955453
WST,0.30383722742911046,0.7464540777627244
WABC,0.4960533501387734,0.5626529764754084
WEYS,0.1323633813268742,0.49419984359481
AROW,0.6951029405557995,0.6131830145379149
ARTNA,0.7664595583227719,0.5689938047262705
ATR,0.6650673573976289,0.6614351833915963
CAT,0.6976152128597057,0.7053856442968878
